port,pkt_size,flowid,time
0,256,71,7
1,256,79,3
2,1472,93,6
3,256,19,6
4,256,62,4
5,256,81,4
6,1472,82,4
7,1472,71,3
8,1472,89,0
9,256,105,4
10,256,82,3
11,256,58,3
12,256,50,2
13,256,51,4
14,1472,78,0
15,256,98,4
16,256,55,3
17,256,3,0
18,256,102,2
19,256,72,3
20,256,98,4
21,256,3,6
22,1472,45,0
23,256,71,6
24,256,70,1
25,1472,100,3
26,256,73,1
27,256,15,2
28,1472,102,2
29,1472,35,5
30,256,33,5
31,256,48,6
32,1472,8,1
33,256,43,7
34,1472,34,7
35,256,55,7
36,256,69,2
37,256,201,1
38,256,9,5
39,1472,96,3
40,256,12,3
41,256,47,7
42,1472,97,6
43,256,61,7
44,1472,76,7
45,1472,80,1
46,1472,98,7
47,1472,100,3
48,256,8,4
49,1472,42,7
50,1472,77,5
51,1472,99,3
52,1472,313,5
53,1472,60,3
54,1472,4,5
55,256,69,6
56,256,37,4
57,256,95,5
58,256,230,5
59,1472,66,3
60,1472,71,5
61,1472,42,7
62,256,57,4
63,256,25,0
0,1472,244,39
1,1472,94,35
2,256,75,190
3,1472,90,38
4,256,62,36
5,1472,15,36
6,256,294,188
7,256,74,187
8,1472,96,184
9,1472,59,36
10,256,4,35
11,256,74,35
12,256,22,34
13,1472,16,36
14,1472,47,184
15,1472,7,36
16,256,76,35
17,256,15,32
18,256,39,34
19,1472,26,35
20,1472,101,36
21,256,51,38
22,1472,100,184
23,256,89,38
24,256,7,33
25,256,74,187
26,256,71,33
27,1472,74,34
28,1472,37,186
29,1472,46,189
30,256,91,37
31,1472,42,38
32,1472,50,185
33,1472,25,39
34,1472,71,191
35,256,46,39
36,256,100,34
37,1472,141,33
38,1472,71,37
39,256,25,187
40,256,9,35
41,256,146,39
42,1472,98,190
43,256,97,39
44,1472,300,191
45,1472,25,185
46,256,92,191
47,256,1,187
48,1472,95,36
49,256,101,191
50,256,97,189
51,256,30,187
52,1472,82,189
53,1472,12,187
54,1472,86,189
55,1472,14,38
56,1472,245,36
57,1472,47,37
58,1472,65,37
59,256,52,187
60,256,73,189
61,1472,22,191
62,1472,13,36
63,256,36,32
0,1472,88,223
1,256,60,219
2,256,35,222
3,1472,99,222
4,1472,29,68
5,256,36,220
6,256,21,220
7,256,29,219
8,256,252,368
9,256,21,220
10,1472,56,67
11,1472,28,67
12,1472,26,66
13,256,40,220
14,1472,54,368
15,1472,14,220
16,1472,13,67
17,256,70,64
18,256,15,66
19,1472,21,219
20,256,23,220
21,256,11,70
22,1472,66,368
23,1472,98,70
24,1472,28,65
25,1472,77,219
26,1472,85,65
27,256,48,218
28,1472,18,370
29,256,105,373
30,256,15,69
31,1472,52,222
32,256,30,369
33,1472,2,223
34,256,1,375
35,1472,4,71
36,256,130,66
37,1472,51,217
38,256,72,221
39,256,103,219
40,1472,96,67
41,256,37,71
42,1472,83,374
43,256,82,71
44,1472,31,375
45,1472,73,369
46,1472,19,223
47,1472,36,219
48,1472,179,220
49,256,3,223
50,256,103,221
51,1472,98,219
52,256,100,373
53,1472,8,371
54,256,18,373
55,256,75,222
56,1472,73,220
57,1472,48,221
58,256,2,221
59,256,84,219
60,256,70,221
61,1472,99,375
62,1472,25,220
63,1472,95,64
0,1472,92,407
1,256,14,251
2,1472,10,254
3,1472,58,406
4,1472,86,252
5,1472,47,252
6,1472,84,252
7,256,55,251
8,256,86,400
9,1472,85,252
10,256,94,251
11,1472,26,251
12,256,42,250
13,256,17,252
14,1472,63,552
15,1472,100,404
16,1472,71,251
17,256,28,96
18,1472,84,98
19,1472,37,403
20,256,73,252
21,1472,11,102
22,1472,81,552
23,1472,3,254
24,256,104,249
25,256,83,403
26,1472,30,249
27,256,72,250
28,256,19,554
29,256,5,405
30,1472,88,101
31,256,53,406
32,256,25,401
33,256,97,407
34,1472,35,407
35,256,103,255
36,256,104,98
37,1472,86,401
38,1472,65,253
39,256,47,251
40,256,106,251
41,1472,92,103
42,256,44,558
43,1472,71,103
44,256,40,559
45,1472,2,553
46,256,56,407
47,256,214,403
48,1472,75,404
49,1472,73,255
50,1472,46,253
51,1472,102,403
52,1472,89,405
53,256,27,555
54,256,88,405
55,1472,79,254
56,256,87,404
57,1472,32,405
58,256,24,253
59,256,38,251
60,256,14,253
61,1472,75,559
62,1472,89,404
63,1472,53,248
0,256,93,591
1,256,77,283
2,1472,100,438
3,1472,57,590
4,256,48,436
5,1472,24,436
6,1472,66,436
7,256,104,283
8,256,70,432
9,256,47,436
10,1472,20,283
11,256,84,435
12,1472,236,282
13,1472,44,284
14,256,29,736
15,256,34,588
16,256,53,435
17,256,38,128
18,256,33,282
19,1472,52,587
20,1472,3,284
21,1472,26,286
22,256,102,736
23,256,59,438
24,256,85,281
25,1472,49,435
26,256,61,433
27,1472,90,282
28,1472,22,586
29,1472,12,437
30,256,178,285
31,1472,52,438
32,256,75,433
33,1472,25,439
34,1472,45,591
35,256,42,287
36,256,89,130
37,256,28,585
38,256,45,437
39,256,83,283
40,256,36,283
41,1472,30,287
42,256,19,590
43,256,42,287
44,256,19,591
45,256,17,737
46,256,77,439
47,256,74,435
48,256,94,588
49,1472,95,439
50,1472,88,437
51,1472,39,587
52,1472,8,589
53,1472,91,587
54,1472,60,437
55,256,82,438
56,1472,105,436
57,1472,333,589
58,256,48,285
59,256,34,283
60,1472,67,285
61,256,25,743
62,256,43,588
63,256,17,432
0,256,162,623
1,256,141,315
2,256,107,622
3,256,90,774
4,256,62,468
5,256,39,620
6,1472,103,620
7,256,102,315
8,1472,81,464
9,256,73,468
10,1472,8,467
11,1472,81,467
12,1472,76,466
13,1472,83,468
14,1472,35,768
15,1472,75,620
16,256,54,467
17,256,8,160
18,256,18,314
19,1472,91,771
20,1472,17,468
21,256,11,470
22,1472,25,768
23,1472,79,470
24,1472,45,313
25,256,81,619
26,256,103,465
27,1472,104,466
28,1472,84,770
29,1472,93,621
30,256,68,317
31,256,86,622
32,256,43,465
33,1472,85,623
34,256,42,775
35,1472,12,319
36,256,7,162
37,256,71,617
38,1472,34,469
39,1472,89,315
40,1472,90,315
41,1472,104,471
42,256,10,622
43,256,94,319
44,1472,85,623
45,1472,69,769
46,1472,31,471
47,256,65,467
48,256,48,620
49,256,62,623
50,256,13,621
51,256,91,771
52,1472,73,773
53,256,60,771
54,1472,25,621
55,256,77,470
56,1472,117,620
57,256,56,773
58,1472,162,317
59,256,80,315
60,1472,7,469
61,1472,22,775
62,1472,71,620
63,1472,14,464
0,256,77,655
1,1472,33,347
2,256,89,654
3,256,96,806
4,256,68,500
5,1472,96,652
6,1472,16,804
7,1472,70,347
8,1472,40,648
9,256,96,500
10,1472,3,651
11,256,74,651
12,256,63,650
13,256,95,652
14,256,54,952
15,256,70,804
16,1472,86,499
17,1472,21,192
18,256,57,346
19,1472,80,955
20,1472,17,652
21,256,105,502
22,1472,2,952
23,1472,78,654
24,1472,91,497
25,256,75,651
26,256,98,497
27,256,87,650
28,256,33,954
29,1472,91,805
30,256,48,349
31,256,28,654
32,1472,103,497
33,1472,48,807
34,256,10,807
35,1472,32,503
36,256,44,194
37,1472,6,649
38,256,38,653
39,256,38,499
40,1472,96,499
41,256,73,655
42,1472,3,654
43,256,23,351
44,1472,85,807
45,256,102,953
46,1472,36,655
47,256,83,499
48,256,112,652
49,256,50,655
50,256,25,653
51,256,22,803
52,256,32,957
53,1472,56,803
54,256,8,805
55,256,271,502
56,256,45,804
57,256,25,805
58,256,40,501
59,1472,22,347
60,1472,29,653
61,1472,6,959
62,256,5,804
63,256,344,648
0,256,11,687
1,1472,58,531
2,256,99,686
3,256,25,838
4,1472,43,532
5,1472,57,836
6,256,28,988
7,1472,53,531
8,1472,49,832
9,1472,44,532
10,256,29,835
11,1472,104,683
12,1472,1,682
13,256,30,684
14,1472,101,984
15,256,65,836
16,1472,20,683
17,1472,46,376
18,256,51,378
19,1472,42,1139
20,1472,62,836
21,256,13,534
22,256,51,1136
23,1472,82,838
24,256,73,681
25,1472,71,683
26,256,104,529
27,1472,50,682
28,1472,75,986
29,256,112,989
30,256,15,381
31,1472,23,686
32,1472,105,681
33,1472,50,991
34,1472,47,839
35,256,52,687
36,1472,70,226
37,1472,68,833
38,256,45,685
39,256,85,531
40,256,62,683
41,1472,22,687
42,1472,72,838
43,256,37,383
44,256,76,991
45,256,24,985
46,1472,64,839
47,256,43,531
48,1472,83,684
49,256,10,687
50,1472,8,685
51,256,81,835
52,256,104,989
53,256,13,987
54,1472,37,837
55,256,38,534
56,256,52,836
57,1472,12,837
58,1472,66,533
59,1472,81,531
60,1472,201,837
61,1472,50,1143
62,256,84,836
63,256,2,680
0,1472,40,719
1,256,72,715
2,256,59,718
3,256,39,870
4,256,54,716
5,1472,30,1020
6,256,48,1020
7,1472,67,715
8,1472,36,1016
9,256,18,716
10,1472,73,867
11,256,290,867
12,1472,103,866
13,256,82,716
14,1472,80,1168
15,1472,72,868
16,1472,94,867
17,256,6,560
18,256,6,410
19,1472,57,1323
20,256,14,1020
21,256,21,566
22,256,41,1168
23,256,90,1022
24,256,187,713
25,256,10,867
26,1472,95,561
27,1472,63,866
28,1472,68,1170
29,256,63,1021
30,256,13,413
31,256,53,870
32,1472,33,865
33,1472,71,1175
34,256,5,1023
35,256,65,719
36,256,82,410
37,1472,91,1017
38,1472,58,717
39,256,24,563
40,1472,9,715
41,256,101,871
42,1472,131,1022
43,1472,31,415
44,256,42,1023
45,256,105,1017
46,256,76,1023
47,1472,71,563
48,256,99,868
49,256,103,719
50,1472,53,869
51,256,54,867
52,256,93,1021
53,256,255,1019
54,1472,55,1021
55,256,20,566
56,256,56,868
57,256,66,1021
58,1472,72,717
59,1472,59,715
60,256,64,1021
61,256,208,1327
62,1472,67,868
63,1472,24,712
0,256,42,903
1,1472,60,747
2,256,59,750
3,1472,46,902
4,1472,67,748
5,256,64,1204
6,1472,10,1052
7,256,18,899
8,256,69,1200
9,256,36,748
10,256,10,1051
11,256,54,899
12,256,98,1050
13,1472,44,748
14,256,15,1352
15,256,61,1052
16,256,18,1051
17,256,228,592
18,256,37,442
19,1472,17,1507
20,256,89,1052
21,1472,70,598
22,256,44,1200
23,256,104,1054
24,1472,42,745
25,1472,61,899
26,1472,13,745
27,1472,30,1050
28,256,88,1354
29,1472,36,1053
30,1472,8,445
31,256,84,902
32,256,25,1049
33,256,48,1359
34,1472,71,1055
35,256,16,751
36,256,53,442
37,256,41,1201
38,256,90,901
39,1472,96,595
40,256,5,899
41,1472,88,903
42,256,33,1206
43,1472,56,599
44,1472,14,1055
45,256,87,1049
46,256,94,1055
47,1472,63,747
48,1472,83,900
49,256,65,751
50,256,31,1053
51,1472,60,899
52,1472,45,1053
53,1472,94,1051
54,256,21,1205
55,1472,92,598
56,1472,5,900
57,256,83,1053
58,256,53,901
59,256,102,899
60,256,18,1053
61,1472,10,1359
62,256,82,1052
63,256,80,896
0,1472,79,935
1,256,50,931
2,1472,62,782
3,256,29,1086
4,1472,196,932
5,256,61,1236
6,256,62,1236
7,256,66,931
8,256,19,1232
9,1472,18,780
10,1472,16,1083
11,1472,61,931
12,256,10,1082
13,256,52,932
14,1472,56,1384
15,1472,65,1084
16,256,50,1083
17,256,79,624
18,256,5,474
19,1472,37,1691
20,256,29,1084
21,256,100,782
22,256,2,1232
23,1472,57,1086
24,256,69,929
25,1472,53,1083
26,256,50,929
27,1472,85,1234
28,256,62,1386
29,256,96,1237
30,1472,28,629
31,256,28,934
32,256,39,1081
33,1472,99,1391
34,256,1,1239
35,256,102,783
36,256,49,474
37,256,39,1233
38,256,97,933
39,256,27,779
40,256,2,931
41,256,228,1087
42,256,58,1238
43,256,88,783
44,256,26,1239
45,1472,19,1081
46,1472,44,1087
47,1472,51,931
48,1472,72,1084
49,1472,5,783
50,1472,97,1085
51,1472,73,1083
52,1472,93,1237
53,256,78,1235
54,1472,70,1237
55,1472,74,782
56,1472,79,1084
57,1472,328,1085
58,256,67,933
59,256,46,931
60,256,83,1085
61,256,54,1543
62,256,165,1084
63,256,61,928
0,1472,63,1119
