port,pkt_size,flowid,time
0,1472,313,1
1,256,269,5
2,1472,61,2
3,256,292,3
4,256,323,4
5,1472,256,6
6,1472,83,7
7,1472,166,1
8,1472,302,0
9,1472,119,0
10,256,127,6
11,256,179,4
12,1472,146,2
13,256,174,7
14,1472,43,5
15,256,117,7
16,1472,344,2
17,256,114,5
18,1472,56,4
19,256,45,6
20,1472,327,0
21,1472,42,5
22,1472,237,7
23,1472,175,6
24,256,227,2
25,1472,284,1
26,256,121,5
27,1472,84,1
28,256,51,0
29,1472,22,5
30,1472,276,6
31,256,206,0
32,1472,224,2
33,256,149,6
34,256,122,2
35,1472,306,4
36,256,79,7
37,256,278,5
38,256,19,1
39,1472,65,2
40,256,121,5
41,256,301,2
42,1472,269,6
43,1472,247,7
44,1472,141,0
45,1472,91,7
46,256,243,3
47,256,325,4
48,1472,309,0
49,1472,136,3
50,256,237,4
51,1472,205,7
52,1472,195,2
53,1472,91,2
54,256,234,2
55,1472,342,5
56,256,25,1
57,256,31,1
58,256,275,0
59,1472,261,4
60,256,64,3
61,1472,142,4
62,256,21,4
63,1472,16,7
0,256,5,185
1,1472,50,37
2,256,45,186
3,1472,342,35
4,256,157,36
5,256,275,190
6,256,317,191
7,256,250,185
8,1472,95,184
9,1472,41,184
10,256,170,38
11,256,139,36
12,1472,249,186
13,256,160,39
14,1472,258,189
15,1472,332,39
16,1472,228,186
17,256,172,37
18,1472,99,188
19,1472,49,38
20,256,274,184
21,1472,312,189
22,256,272,191
23,1472,168,190
24,1472,285,34
25,256,184,185
26,1472,56,37
27,256,48,185
28,1472,298,32
29,256,106,189
30,1472,82,190
31,256,119,32
32,1472,118,186
33,1472,203,38
34,1472,1,34
35,1472,243,188
36,1472,190,39
37,256,334,37
38,1472,113,33
39,256,7,186
40,256,236,37
41,256,207,34
42,256,80,190
43,1472,313,191
44,256,122,184
45,256,206,191
46,256,181,35
47,1472,197,36
48,256,247,184
49,256,152,187
50,1472,252,36
51,1472,242,191
52,1472,152,186
53,256,347,186
54,256,165,34
55,256,255,189
56,256,230,33
57,256,66,33
58,256,281,32
59,1472,56,188
60,1472,7,35
61,256,120,188
62,1472,58,36
63,1472,333,191
0,256,111,217
1,256,12,221
2,256,268,218
3,1472,133,219
4,256,38,68
5,256,240,222
6,1472,172,223
7,256,155,217
8,256,64,368
9,1472,170,368
10,1472,339,70
11,256,170,68
12,1472,314,370
13,1472,240,71
14,1472,161,373
15,1472,169,223
16,256,1,370
17,256,108,69
18,256,302,372
19,1472,221,222
20,256,123,216
21,1472,6,373
22,1472,235,223
23,1472,199,374
24,1472,276,218
25,256,250,217
26,256,10,221
27,256,267,217
28,1472,232,216
29,1472,242,221
30,1472,233,374
31,1472,214,64
32,256,192,370
33,256,119,222
34,256,347,218
35,256,220,372
36,256,70,223
37,1472,220,69
38,1472,116,217
39,256,125,218
40,256,267,69
41,256,191,66
42,1472,273,222
43,1472,86,375
44,1472,10,216
45,1472,253,223
46,1472,199,67
47,256,97,220
48,256,117,216
49,256,317,219
50,1472,332,220
51,256,114,375
52,1472,318,370
53,256,34,218
54,256,346,66
55,256,325,221
56,1472,218,65
57,256,150,65
58,1472,279,64
59,1472,147,372
60,1472,260,219
61,256,161,220
62,256,169,220
63,1472,17,375
0,256,151,249
1,1472,23,253
2,1472,194,250
3,1472,173,403
4,256,72,100
5,1472,64,254
6,1472,177,407
7,256,115,249
8,1472,126,400
9,256,317,552
10,256,241,254
11,1472,218,100
12,1472,118,554
13,1472,282,255
14,256,270,557
15,256,304,407
16,1472,303,402
17,1472,204,101
18,1472,158,404
19,1472,47,406
20,1472,163,248
21,1472,276,557
22,256,218,407
23,256,178,558
24,256,162,402
25,1472,57,249
26,1472,63,253
27,256,28,249
28,1472,187,400
29,1472,319,405
30,256,117,558
31,256,329,248
32,256,324,402
33,1472,112,254
34,256,127,250
35,256,291,404
36,1472,12,255
37,1472,150,253
38,1472,315,401
39,1472,23,250
40,1472,78,101
41,256,322,98
42,1472,2,406
43,256,80,559
44,1472,111,400
45,1472,179,407
46,1472,270,251
47,256,2,252
48,256,58,248
49,1472,318,251
50,1472,337,404
51,1472,207,407
52,1472,68,554
53,256,85,250
54,1472,128,98
55,256,171,253
56,256,270,249
57,256,26,97
58,256,79,248
59,256,3,556
60,1472,31,403
61,1472,289,252
62,256,112,252
63,1472,15,559
0,1472,35,281
1,256,173,437
2,1472,245,434
3,1472,94,587
4,256,201,132
5,1472,96,438
6,256,205,591
7,1472,17,281
8,1472,320,584
9,256,119,584
10,1472,316,286
11,1472,163,284
12,1472,290,738
13,256,346,439
14,256,140,589
15,256,241,439
16,1472,176,586
17,1472,146,285
18,256,334,588
19,256,96,590
20,256,319,432
21,256,16,741
22,256,119,439
23,1472,288,590
24,1472,276,434
25,1472,341,433
26,256,254,437
27,256,347,281
28,256,201,584
29,1472,284,589
30,256,116,590
31,256,81,280
32,256,38,434
33,1472,151,438
34,1472,262,282
35,256,229,436
36,256,168,439
37,1472,7,437
38,1472,175,585
39,1472,137,434
40,1472,31,285
41,256,309,130
42,256,116,590
43,1472,181,591
44,1472,89,584
45,1472,176,591
46,256,198,435
47,1472,312,284
48,1472,218,280
49,256,218,435
50,1472,22,588
51,1472,211,591
52,256,154,738
53,1472,213,282
54,1472,147,282
55,256,257,285
56,256,260,281
57,1472,149,129
58,1472,326,280
59,1472,287,588
60,256,126,587
61,256,126,436
62,256,78,284
63,256,43,743
0,256,231,465
1,1472,319,469
2,1472,76,618
3,1472,145,771
4,256,82,164
5,1472,280,622
6,1472,23,623
7,256,268,465
8,1472,13,768
9,256,172,616
10,256,340,470
11,256,154,468
12,256,93,922
13,1472,223,471
14,256,125,621
15,1472,216,471
16,256,313,770
17,1472,245,469
18,256,293,620
19,256,169,622
20,1472,228,464
21,256,346,773
22,1472,24,471
23,256,214,774
24,1472,256,618
25,1472,275,617
26,256,237,469
27,1472,303,313
28,256,79,616
29,1472,266,773
30,256,60,622
31,256,232,312
32,256,172,466
33,256,19,622
34,1472,241,466
35,256,200,468
36,1472,328,471
37,256,286,621
38,1472,130,769
39,256,79,618
40,256,275,469
41,1472,322,162
42,256,136,622
43,1472,208,775
44,256,64,768
45,256,190,775
46,1472,90,467
47,256,72,468
48,1472,31,464
49,256,230,467
50,1472,214,772
51,256,252,775
52,256,7,770
53,1472,133,466
54,256,168,466
55,256,69,317
56,256,179,313
57,256,131,313
58,256,171,464
59,1472,311,772
60,256,169,619
61,1472,327,468
62,1472,160,316
63,1472,192,775
0,256,88,497
1,256,72,653
2,256,283,802
3,1472,288,955
4,1472,45,196
5,1472,304,806
6,1472,335,807
7,256,284,497
8,1472,244,952
9,256,217,648
10,1472,78,502
11,1472,102,500
12,256,245,954
13,1472,59,655
14,256,175,653
15,256,228,655
16,256,260,802
17,256,40,653
18,256,4,652
19,256,299,654
20,1472,114,648
21,1472,304,805
22,256,152,655
23,1472,66,806
24,256,341,802
25,1472,153,801
26,256,334,501
27,256,95,497
28,256,174,648
29,256,177,957
30,1472,284,654
31,1472,151,344
32,1472,56,498
33,1472,47,654
34,1472,15,650
35,256,233,500
36,256,324,655
37,1472,92,653
38,256,81,953
39,1472,278,650
40,256,267,501
41,256,291,346
42,256,308,654
43,256,55,959
44,256,243,800
45,256,219,807
46,1472,293,651
47,256,229,500
48,1472,230,648
49,1472,212,499
50,1472,99,956
51,1472,120,807
52,1472,49,802
53,256,183,650
54,1472,266,498
55,256,215,349
56,1472,31,345
57,256,322,345
58,256,119,496
59,256,154,956
60,256,51,651
61,1472,272,652
62,1472,319,500
63,256,312,959
0,1472,244,529
1,1472,145,685
2,1472,185,834
3,1472,127,1139
4,256,259,380
5,1472,27,990
6,256,301,991
7,1472,264,529
8,256,176,1136
9,256,103,680
10,1472,342,686
11,1472,65,684
12,1472,197,986
13,1472,72,839
14,1472,295,685
15,256,310,687
16,1472,334,834
17,256,217,685
18,1472,270,684
19,1472,197,686
20,256,294,832
21,256,275,989
22,256,262,687
23,256,183,990
24,256,20,834
25,1472,231,985
26,1472,116,533
27,1472,68,529
28,1472,161,680
29,256,6,989
30,1472,60,838
31,1472,86,528
32,1472,248,682
33,1472,315,838
34,1472,4,834
35,256,64,532
36,1472,56,687
37,256,171,837
38,1472,271,985
39,256,173,834
40,1472,250,533
41,256,311,378
42,1472,14,686
43,256,258,991
44,1472,174,832
45,256,295,839
46,1472,135,835
47,1472,194,532
48,1472,232,832
49,1472,36,683
50,1472,114,1140
51,256,54,991
52,1472,25,986
53,256,148,682
54,256,256,682
55,1472,345,381
56,256,91,529
57,1472,224,377
58,256,65,528
59,1472,255,988
60,256,22,683
61,256,142,836
62,1472,212,684
63,1472,282,991
0,256,299,713
1,1472,195,869
2,1472,197,1018
3,256,200,1323
4,1472,22,412
5,256,295,1174
6,1472,9,1023
7,256,80,713
8,256,154,1168
9,256,277,712
10,1472,155,870
11,1472,259,868
12,256,290,1170
13,256,186,1023
14,1472,245,869
15,1472,154,719
16,1472,144,1018
17,256,223,717
18,256,313,868
19,1472,342,870
20,256,71,864
21,1472,159,1021
22,1472,184,719
23,256,291,1022
24,256,174,866
25,1472,56,1169
26,1472,286,717
