port,pkt_size,flowid,time
0,256,671,0
1,1472,795,2
2,256,295,0
3,256,1672,1
4,256,1304,4
5,1472,3060,0
6,1472,2781,4
7,256,1409,3
8,256,1178,4
9,256,127,2
10,256,1266,4
11,256,1847,4
12,256,3015,2
13,1472,1431,2
14,256,591,4
15,256,589,2
16,1472,290,1
17,1472,1010,0
18,256,2593,2
19,1472,49,1
20,256,220,3
21,256,2130,2
22,1472,1910,3
23,256,1881,0
24,1472,761,2
25,256,1462,1
26,256,2813,2
27,1472,2772,0
28,1472,3051,4
29,256,1306,4
30,256,5292,3
31,256,1722,2
32,256,2571,4
33,256,1920,4
34,256,6663,2
35,1472,1901,3
36,1472,1563,2
37,1472,2220,2
38,1472,1303,1
39,256,352,1
40,256,2722,1
41,1472,1359,4
42,1472,2588,2
43,1472,2875,0
44,1472,2572,1
45,256,40,4
46,1472,3034,1
47,256,208,3
48,1472,713,4
49,256,1551,1
50,256,798,0
51,256,2685,4
52,1472,2340,2
53,1472,2214,1
54,1472,3,3
55,256,761,2
56,1472,281,4
57,256,676,3
58,1472,710,3
59,1472,1647,0
0,256,1381,20
1,1472,996,117
2,1472,1197,20
3,1472,1646,21
4,256,1561,24
5,256,1283,115
6,1472,2121,119
7,1472,960,23
8,256,2596,24
9,1472,2308,22
10,256,107,24
11,1472,2792,24
12,256,875,22
13,1472,2937,117
14,1472,2471,24
15,256,4533,22
16,1472,2800,116
17,1472,2304,115
18,256,2632,22
19,256,389,116
20,1472,351,23
21,256,1431,22
22,256,117,118
23,256,1344,20
24,1472,790,117
25,1472,7540,21
26,1472,1380,22
27,256,619,115
28,1472,1590,119
29,256,1931,24
30,256,1602,23
31,1472,1312,22
32,1472,1972,24
33,256,1545,24
34,1472,571,22
35,1472,1652,118
36,256,2800,117
37,256,244,117
38,1472,3141,116
39,1472,2744,21
40,1472,2975,21
41,1472,3049,119
42,1472,2307,117
43,256,616,115
44,256,2735,116
45,1472,2807,24
46,256,420,116
47,1472,1719,23
48,256,1298,119
49,1472,498,21
50,1472,2471,20
51,256,84,24
52,1472,1046,117
53,1472,1928,116
54,256,1256,118
55,256,988,22
56,256,1624,119
57,1472,280,23
58,256,1240,118
59,256,2340,115
0,256,2117,40
1,1472,2881,232
2,1472,2888,135
3,1472,1687,136
4,1472,1816,44
5,256,1306,135
6,1472,2124,234
7,256,252,138
8,256,1364,44
9,1472,1369,137
10,1472,3115,44
11,1472,529,139
12,256,1767,42
13,1472,1553,232
14,1472,1647,139
15,1472,1096,42
16,1472,494,231
17,1472,1607,230
18,1472,1934,42
19,1472,982,136
20,1472,90,138
21,256,2973,42
22,1472,1528,138
23,1472,3124,40
24,1472,1959,232
25,1472,1677,136
26,1472,1785,137
27,1472,2829,135
28,1472,1389,234
29,1472,2992,44
30,1472,2725,43
31,1472,3115,137
32,1472,1314,139
33,1472,1522,44
34,256,2834,137
35,1472,273,233
36,1472,85,137
37,256,2097,137
38,256,2908,231
39,1472,783,136
40,256,2293,136
41,1472,2262,234
42,1472,1910,232
43,1472,1632,135
44,1472,679,136
45,256,736,139
46,1472,1370,136
47,1472,784,138
48,256,1362,139
49,256,2530,136
50,1472,1306,135
51,1472,539,44
52,1472,1526,232
53,1472,1347,231
54,256,2556,138
55,256,2302,42
56,1472,3013,139
57,1472,1141,138
58,256,1557,138
59,1472,2599,135
0,1472,1810,60
1,256,2259,347
2,256,1184,250
3,256,2510,251
4,256,2652,159
5,1472,905,155
6,1472,982,349
7,1472,2826,158
8,1472,166,64
9,1472,2275,252
10,1472,3086,159
11,1472,1106,254
12,256,493,62
13,256,1619,347
14,1472,795,254
15,256,1385,157
16,256,2707,346
17,1472,2191,345
18,256,2007,157
19,256,1918,251
20,1472,1277,253
21,1472,1248,62
22,1472,168,253
23,1472,582,155
24,1472,3158,347
25,1472,228,251
26,1472,964,252
27,1472,3067,250
28,1472,2636,349
29,1472,2768,159
30,1472,396,158
31,1472,1237,252
32,1472,2865,254
33,1472,287,159
34,1472,2235,157
35,256,281,348
36,256,1976,252
37,256,1616,157
38,1472,163,251
39,256,239,251
40,1472,4617,156
41,1472,1176,349
42,1472,1755,347
43,256,1901,250
44,256,376,251
45,256,1202,159
46,1472,1207,251
47,256,959,253
48,256,5439,159
49,1472,953,156
50,256,2948,250
51,256,2038,159
52,256,2904,347
53,256,2380,346
54,256,10414,158
55,1472,2034,62
56,256,313,254
57,256,2424,253
58,1472,149,158
59,1472,2685,250
0,256,2073,175
1,1472,1595,367
2,256,2280,270
3,256,2767,271
4,256,2748,179
5,1472,356,270
6,256,326,464
7,256,590,273
8,1472,2070,179
9,256,217,367
10,256,1998,274
11,1472,2195,369
12,256,3168,82
13,1472,2167,367
14,256,855,369
15,256,518,177
16,1472,1702,366
17,256,2074,460
18,1472,1421,177
19,1472,842,271
20,256,1959,368
21,256,2778,177
22,256,2187,368
23,256,1901,270
24,256,1570,462
25,256,2288,366
26,256,7080,367
27,256,90,365
28,1472,2452,464
29,256,1281,274
30,1472,1538,273
31,256,1584,367
32,1472,1225,369
33,1472,2289,274
34,1472,2436,272
35,1472,1309,368
36,1472,1878,272
37,256,2995,177
38,1472,979,366
39,1472,235,271
40,256,1245,271
41,1472,5218,464
42,256,1212,462
43,256,3380,270
44,256,780,271
45,256,2890,179
46,256,2125,366
47,256,4405,273
48,1472,2193,179
49,256,2740,271
50,1472,2509,270
51,1472,1363,179
52,1472,157,367
53,1472,78,366
54,1472,460,178
55,256,522,177
56,1472,1703,274
57,256,2113,273
58,1472,3322,273
59,1472,9634,365
0,1472,1512,195
1,1472,335,482
2,256,542,290
3,256,60,291
4,1472,3447,199
5,1472,2,385
6,256,3165,484
7,1472,325,293
8,256,281,294
9,256,2108,387
10,256,1778,294
11,1472,2468,484
12,256,2838,102
13,1472,1812,482
14,1472,476,389
15,1472,1446,197
16,256,2485,481
17,1472,1553,480
18,256,3079,292
19,256,857,386
20,1472,1617,388
21,1472,6598,197
22,256,1682,388
23,1472,7741,290
24,256,810,482
25,1472,8938,386
26,1472,1330,387
27,1472,3141,385
28,1472,709,579
29,1472,10429,294
30,1472,794,388
31,1472,1772,387
32,1472,495,484
33,256,301,389
34,256,2292,387
35,256,2481,483
36,256,2149,387
37,1472,2114,197
38,256,1211,481
39,256,1755,386
40,256,1286,291
41,256,672,579
42,1472,1813,482
43,1472,2732,290
44,1472,2837,291
45,256,2891,199
46,256,97,386
47,1472,3160,293
48,256,2486,294
49,256,1314,291
50,1472,1238,385
51,1472,2955,294
52,256,363,482
53,1472,2885,481
54,1472,2949,293
55,1472,1344,197
56,1472,1257,389
57,256,1235,293
58,1472,1912,388
59,1472,965,480
0,1472,163,310
1,1472,708,597
2,256,2654,310
3,1472,43,311
4,256,2608,314
5,1472,2885,500
6,1472,3033,504
7,1472,1131,408
8,256,1891,314
9,256,2301,407
10,1472,211,314
11,1472,984,599
12,1472,2071,122
13,256,2692,597
14,1472,2389,504
15,256,583,312
16,256,2763,501
17,1472,422,595
18,256,470,312
19,1472,2558,406
20,1472,2909,503
21,256,917,312
22,256,1631,408
23,256,2656,405
24,1472,3074,502
25,1472,1879,501
26,1472,2523,502
27,256,2088,500
28,256,1990,694
29,256,74,409
30,256,2570,503
31,1472,2059,502
32,256,789,599
33,256,1507,409
34,256,951,407
35,1472,590,503
36,256,2334,407
37,256,1567,312
38,256,1367,501
39,256,225,406
40,1472,1985,311
41,1472,1562,599
42,1472,470,597
43,256,572,405
44,1472,357,406
45,256,865,219
46,1472,681,406
47,256,2944,408
48,256,256,314
49,256,2556,311
50,1472,666,500
51,256,9715,409
52,256,690,502
53,256,1108,596
54,256,997,408
55,1472,289,312
56,1472,1007,504
57,1472,1011,313
58,256,1571,503
59,256,1993,595
0,256,1506,425
1,1472,6778,712
2,256,2153,330
3,1472,2551,426
4,1472,3059,334
5,1472,755,615
6,1472,305,619
7,256,1801,523
8,256,271,334
9,1472,2972,427
10,256,2080,429
11,256,711,714
12,256,1039,237
13,1472,2570,617
14,256,1857,619
15,1472,223,332
16,256,2974,521
17,1472,860,710
18,1472,2374,332
19,256,899,521
20,256,657,618
21,1472,275,332
22,1472,2666,428
23,256,1020,425
24,256,400,617
25,256,288,616
26,256,2226,617
27,1472,590,520
28,1472,405,714
29,1472,2567,429
30,256,3138,523
31,256,1077,617
32,256,2372,619
33,256,2059,429
34,1472,3028,427
35,1472,2296,618
36,256,5426,427
37,1472,3137,332
38,256,984,521
39,256,1007,426
40,256,3173,426
41,1472,1984,714
42,256,2483,712
43,256,1077,425
44,256,51,521
45,256,758,239
46,256,2142,521
47,256,1533,428
48,1472,2074,334
49,1472,97,331
50,256,962,615
51,1472,1924,429
52,256,2756,522
53,1472,2378,616
54,1472,3823,428
