port,pkt_size,flowid,time
0,256,2281,0
1,1472,8955,0
2,256,1376,3
3,256,3042,2
4,256,1478,3
5,256,10050,3
6,1472,4581,2
7,256,9153,3
8,1472,7666,1
9,1472,9789,2
10,256,1724,2
11,1472,1032,0
12,1472,7482,0
13,1472,4926,0
14,1472,10331,3
15,1472,8060,1
16,256,9132,3
17,256,281,1
18,1472,8443,2
19,256,6094,0
20,256,8876,2
21,256,6834,2
22,256,282,1
23,256,9742,3
24,1472,1145,3
25,1472,6891,2
26,1472,7161,2
27,256,10587,3
28,256,2757,2
29,1472,5670,3
30,256,6417,2
31,1472,5303,0
32,256,5625,2
33,1472,379,3
34,256,5982,3
35,1472,2526,1
36,256,1684,3
37,1472,130,0
38,256,4672,3
39,1472,9579,2
40,1472,1619,1
41,256,4618,3
42,1472,1499,1
43,1472,3169,0
44,256,9100,1
45,1472,7770,2
46,256,5433,0
47,1472,4696,0
48,1472,4629,3
49,256,946,1
50,1472,3009,1
51,256,1364,1
52,256,6716,0
53,1472,9370,3
54,256,10432,3
55,256,8558,1
56,1472,9189,0
57,256,8211,2
58,1472,3653,1
59,1472,5669,0
60,1472,6988,0
61,1472,4090,3
62,256,10083,0
63,1472,5941,2
0,256,3421,16
1,256,5708,92
2,1472,8829,19
3,1472,7480,18
4,256,2857,19
5,256,6227,19
6,256,10389,94
7,1472,855,19
8,256,3930,93
9,256,3846,94
10,256,9216,18
11,256,468,92
12,1472,7724,92
13,256,6061,92
14,256,4975,95
15,1472,7442,93
16,256,8713,19
17,1472,8651,17
18,256,10183,94
19,256,3350,16
20,256,9759,18
21,256,6946,18
22,256,2055,17
23,1472,8554,19
24,1472,7985,95
25,256,3340,94
26,1472,290,94
27,256,6107,19
28,256,2538,18
29,256,9778,95
30,1472,2966,18
31,1472,5824,92
32,1472,10164,18
33,256,3198,95
34,256,3280,19
35,256,1546,93
36,256,9796,19
37,256,396,92
38,256,4477,19
39,1472,2256,94
40,1472,2765,93
41,256,8173,19
42,1472,8305,93
43,256,6011,92
44,1472,5435,17
45,256,8531,94
46,1472,9192,16
47,256,3601,92
48,1472,9533,95
49,1472,1256,17
50,1472,7228,93
51,1472,7590,17
52,1472,8446,16
53,256,7441,95
54,256,7961,19
55,256,7709,17
56,1472,9747,92
57,1472,6351,18
58,256,9819,93
59,256,2554,92
60,1472,5299,92
61,256,746,95
62,1472,3833,16
63,256,2124,94
0,1472,8689,32
1,256,4952,108
2,1472,3581,111
3,256,2619,110
4,256,6289,35
5,1472,135,35
6,1472,5767,110
7,1472,7076,111
8,1472,3972,109
9,256,9013,110
10,1472,5722,34
11,1472,75,108
12,1472,2811,184
13,256,1932,108
14,256,694,111
15,1472,6236,185
16,256,153,35
17,1472,7576,109
18,1472,4534,110
19,256,464,32
20,1472,1501,34
21,256,5901,34
22,256,582,33
23,1472,2381,111
24,256,4892,187
25,256,2747,110
26,1472,5624,186
27,1472,300,35
28,1472,5325,34
29,256,1880,111
30,256,3493,110
31,256,4824,184
32,1472,2764,110
33,256,10665,111
34,256,10188,35
35,256,5595,109
36,256,7066,35
37,256,4355,108
38,1472,6970,35
39,1472,6305,186
40,256,6361,185
41,1472,8261,35
42,256,1046,185
43,256,8243,108
44,256,2451,109
45,256,860,110
46,1472,4024,108
