port,pkt_size,flowid,time
0,512,555,6
1,512,543,8
2,512,379,12
3,512,771,14
4,512,416,11
5,512,714,7
6,512,52,15
7,512,119,8
8,512,104,3
9,512,102,13
10,512,225,5
11,512,361,7
12,512,645,13
13,512,166,4
14,512,97,4
15,512,573,7
16,512,334,7
17,512,363,2
18,512,488,14
19,512,736,9
20,512,188,2
21,512,472,8
22,512,152,14
23,512,172,14
24,512,63,11
25,512,141,8
26,512,375,8
27,512,288,6
28,512,81,10
29,512,636,14
30,512,717,0
31,512,307,1
32,512,350,0
33,512,676,11
34,512,508,1
35,512,592,8
36,512,556,11
37,512,295,4
38,512,722,10
39,512,343,5
40,512,426,8
41,512,505,10
42,512,198,5
43,512,756,12
44,512,725,1
45,512,380,4
46,512,358,14
47,512,721,14
48,512,691,4
49,512,106,7
50,512,289,4
51,512,41,6
52,512,377,11
53,512,19,4
54,512,263,15
55,512,482,15
56,512,215,7
57,512,58,2
58,512,54,4
59,512,201,12
60,512,517,0
61,512,668,0
62,512,405,2
63,512,760,12
0,512,663,134
1,512,186,136
2,512,363,140
3,512,615,142
4,512,254,139
5,512,672,135
6,512,145,143
7,512,174,136
8,512,443,131
9,512,772,141
10,512,4,133
11,512,343,135
12,512,638,141
13,512,226,132
14,512,492,132
15,512,764,135
16,512,216,135
17,512,440,130
18,512,490,142
19,512,172,137
20,512,534,130
21,512,438,136
22,512,546,142
23,512,386,142
24,512,687,139
25,512,612,136
26,512,267,136
27,512,91,134
28,512,265,138
29,512,60,142
30,512,562,128
31,512,473,129
32,512,752,128
33,512,23,139
34,512,353,129
35,512,210,136
36,512,116,139
37,512,470,132
38,512,563,138
39,512,596,133
40,512,331,136
41,512,359,138
42,512,261,133
43,512,645,140
44,512,774,129
45,512,246,132
46,512,643,142
47,512,533,142
48,512,220,132
49,512,145,135
50,512,664,132
51,512,545,134
52,512,431,139
53,512,719,132
54,512,121,143
55,512,583,143
56,512,387,135
57,512,692,130
58,512,277,132
59,512,320,140
60,512,615,128
61,512,339,128
62,512,288,130
63,512,287,140
0,512,644,262
1,512,209,264
2,512,24,268
3,512,623,270
4,512,500,267
5,512,533,263
6,512,671,271
7,512,495,264
8,512,360,259
9,512,310,269
10,512,51,261
11,512,123,263
12,512,723,269
13,512,746,260
14,512,648,260
15,512,214,263
16,512,564,263
17,512,564,258
18,512,79,270
19,512,94,265
20,512,20,258
21,512,769,264
22,512,587,270
23,512,627,270
24,512,719,267
25,512,171,264
26,512,698,264
27,512,601,262
28,512,205,266
29,512,110,270
30,512,142,256
31,512,146,257
32,512,598,256
33,512,553,267
34,512,506,257
35,512,360,264
36,512,195,267
37,512,717,260
38,512,211,266
39,512,611,261
40,512,73,264
41,512,318,266
42,512,709,261
43,512,779,268
44,512,308,257
45,512,122,260
46,512,585,270
47,512,397,270
48,512,430,260
49,512,137,263
50,512,21,260
51,512,556,262
52,512,153,267
53,512,159,260
54,512,760,271
55,512,783,271
56,512,304,263
57,512,461,258
58,512,200,260
59,512,398,268
60,512,595,256
61,512,378,256
62,512,421,258
63,512,648,268
0,512,388,390
1,512,673,392
2,512,158,396
3,512,190,398
4,512,165,395
5,512,592,391
6,512,745,399
7,512,444,392
8,512,755,387
9,512,766,397
10,512,157,389
11,512,768,391
12,512,502,397
13,512,568,388
14,512,540,388
15,512,716,391
16,512,344,391
17,512,597,386
18,512,758,398
19,512,551,393
20,512,434,386
21,512,458,392
22,512,627,398
23,512,581,398
24,512,193,395
25,512,747,392
26,512,352,392
27,512,465,390
28,512,450,394
29,512,587,398
30,512,175,384
31,512,700,385
32,512,636,384
33,512,141,395
34,512,666,385
35,512,306,392
36,512,51,395
37,512,123,388
38,512,289,394
39,512,256,389
40,512,713,392
41,512,567,394
42,512,573,389
43,512,320,396
44,512,16,385
45,512,780,388
46,512,406,398
47,512,601,398
48,512,579,388
49,512,558,391
50,512,385,388
51,512,435,390
52,512,230,395
53,512,792,388
54,512,50,399
55,512,50,399
56,512,77,391
57,512,204,386
58,512,519,388
59,512,558,396
60,512,181,384
61,512,266,384
62,512,553,386
63,512,209,396
0,512,72,518
1,512,116,520
2,512,120,524
3,512,657,526
4,512,664,523
5,512,476,519
6,512,240,527
7,512,290,520
8,512,578,515
9,512,84,525
10,512,348,517
11,512,777,519
12,512,720,525
13,512,509,516
14,512,540,516
15,512,697,519
16,512,416,519
17,512,766,514
18,512,244,526
19,512,665,521
20,512,51,514
21,512,581,520
22,512,697,526
23,512,204,526
24,512,230,523
25,512,695,520
26,512,27,520
27,512,703,518
28,512,661,522
29,512,270,526
30,512,527,512
31,512,675,513
32,512,279,512
33,512,190,523
34,512,80,513
35,512,777,520
36,512,225,523
37,512,467,516
38,512,778,522
39,512,124,517
40,512,209,520
41,512,370,522
42,512,103,517
43,512,61,524
44,512,88,513
45,512,304,516
46,512,514,526
47,512,142,526
48,512,662,516
49,512,584,519
50,512,777,516
51,512,21,518
52,512,155,523
53,512,274,516
54,512,753,527
55,512,327,527
56,512,2,519
57,512,687,514
58,512,775,516
59,512,543,524
60,512,18,512
61,512,542,512
62,512,331,514
63,512,720,524
0,512,291,646
1,512,369,648
2,512,148,652
3,512,688,654
4,512,399,651
5,512,7,647
6,512,464,655
7,512,291,648
8,512,100,643
9,512,356,653
10,512,109,645
11,512,60,647
12,512,296,653
13,512,512,644
14,512,215,644
15,512,216,647
16,512,321,647
17,512,720,642
18,512,480,654
19,512,457,649
20,512,454,642
21,512,48,648
22,512,521,654
23,512,251,654
24,512,595,651
25,512,139,648
26,512,249,648
27,512,751,646
28,512,719,650
29,512,429,654
30,512,22,640
31,512,777,641
32,512,239,640
33,512,466,651
34,512,422,641
35,512,117,648
36,512,671,651
37,512,155,644
38,512,540,650
39,512,672,645
40,512,258,648
41,512,584,650
42,512,507,645
43,512,498,652
44,512,766,641
45,512,4,644
46,512,388,654
47,512,301,654
48,512,409,644
49,512,535,647
50,512,224,644
51,512,499,646
52,512,408,651
53,512,449,644
54,512,159,655
55,512,514,655
56,512,46,647
57,512,334,642
58,512,572,644
59,512,224,652
60,512,28,640
61,512,453,640
62,512,637,642
63,512,443,652
0,512,458,774
1,512,775,776
2,512,94,780
3,512,485,782
4,512,441,779
5,512,399,775
6,512,583,783
7,512,511,776
8,512,652,771
9,512,136,781
10,512,285,773
11,512,727,775
12,512,764,781
13,512,439,772
14,512,178,772
15,512,285,775
16,512,370,775
17,512,552,770
18,512,528,782
19,512,620,777
20,512,158,770
21,512,89,776
22,512,331,782
23,512,55,782
24,512,261,779
25,512,605,776
26,512,656,776
27,512,191,774
28,512,782,778
29,512,599,782
30,512,33,768
31,512,122,769
32,512,516,768
33,512,664,779
34,512,327,769
35,512,702,776
36,512,52,779
37,512,775,772
38,512,95,778
39,512,237,773
40,512,773,776
41,512,520,778
42,512,377,773
43,512,85,780
44,512,402,769
45,512,619,772
46,512,418,782
47,512,116,782
48,512,265,772
49,512,484,775
50,512,636,772
51,512,366,774
52,512,283,779
53,512,693,772
54,512,479,783
55,512,601,783
56,512,81,775
57,512,723,770
58,512,470,772
59,512,739,780
60,512,272,768
61,512,529,768
62,512,93,770
63,512,312,780
0,512,654,902
1,512,656,904
2,512,592,908
3,512,29,910
4,512,345,907
5,512,69,903
6,512,221,911
7,512,57,904
8,512,413,899
9,512,412,909
10,512,754,901
11,512,434,903
12,512,641,909
13,512,41,900
14,512,166,900
15,512,315,903
16,512,326,903
17,512,47,898
18,512,582,910
19,512,509,905
20,512,471,898
21,512,324,904
22,512,107,910
23,512,192,910
24,512,188,907
25,512,307,904
26,512,304,904
27,512,695,902
28,512,13,906
29,512,12,910
30,512,293,896
31,512,304,897
32,512,484,896
33,512,479,907
34,512,113,897
35,512,13,904
36,512,590,907
37,512,694,900
38,512,629,906
39,512,561,901
40,512,670,904
41,512,744,906
42,512,378,901
43,512,671,908
44,512,164,897
45,512,102,900
46,512,144,910
47,512,184,910
48,512,400,900
49,512,617,903
50,512,572,900
51,512,559,902
52,512,84,907
53,512,672,900
54,512,179,911
55,512,611,911
56,512,29,903
57,512,727,898
58,512,284,900
59,512,121,908
60,512,8,896
61,512,482,896
62,512,150,898
63,512,303,908
0,512,412,1030
1,512,177,1032
2,512,467,1036
3,512,650,1038
4,512,66,1035
5,512,455,1031
6,512,422,1039
7,512,656,1032
8,512,100,1027
9,512,571,1037
10,512,435,1029
11,512,420,1031
12,512,443,1037
13,512,510,1028
14,512,257,1028
15,512,720,1031
16,512,433,1031
17,512,744,1026
18,512,33,1038
19,512,132,1033
20,512,277,1026
21,512,140,1032
22,512,325,1038
23,512,341,1038
24,512,758,1035
25,512,337,1032
26,512,329,1032
27,512,421,1030
28,512,353,1034
29,512,793,1038
30,512,380,1024
31,512,285,1025
32,512,143,1024
33,512,588,1035
34,512,512,1025
35,512,575,1032
36,512,653,1035
37,512,454,1028
38,512,111,1034
39,512,463,1029
40,512,483,1032
41,512,238,1034
42,512,644,1029
43,512,408,1036
44,512,505,1025
45,512,409,1028
46,512,663,1038
47,512,764,1038
48,512,724,1028
49,512,177,1031
50,512,263,1028
51,512,126,1030
52,512,178,1035
53,512,343,1028
54,512,281,1039
55,512,437,1039
56,512,165,1031
57,512,641,1026
58,512,101,1028
59,512,204,1036
60,512,530,1024
61,512,383,1024
62,512,786,1026
63,512,70,1036
0,512,129,1158
1,512,572,1160
2,512,70,1164
3,512,669,1166
4,512,40,1163
5,512,171,1159
6,512,19,1167
7,512,314,1160
8,512,327,1155
9,512,279,1165
10,512,154,1157
11,512,48,1159
12,512,374,1165
13,512,178,1156
14,512,421,1156
15,512,774,1159
16,512,394,1159
17,512,739,1154
18,512,230,1166
19,512,424,1161
20,512,550,1154
21,512,523,1160
22,512,268,1166
23,512,515,1166
24,512,115,1163
25,512,411,1160
26,512,711,1160
27,512,119,1158
28,512,153,1162
29,512,88,1166
30,512,652,1152
31,512,590,1153
32,512,177,1152
33,512,621,1163
34,512,259,1153
35,512,568,1160
36,512,361,1163
37,512,436,1156
38,512,395,1162
39,512,660,1157
40,512,44,1160
41,512,242,1162
42,512,322,1157
43,512,337,1164
44,512,315,1153
45,512,676,1156
46,512,32,1166
47,512,413,1166
48,512,436,1156
49,512,81,1159
50,512,77,1156
51,512,537,1158
52,512,730,1163
53,512,3,1156
54,512,732,1167
55,512,253,1167
56,512,239,1159
57,512,143,1154
58,512,340,1156
59,512,562,1164
60,512,18,1152
61,512,335,1152
62,512,510,1154
63,512,328,1164
0,512,34,1286
1,512,220,1288
2,512,276,1292
3,512,446,1294
4,512,532,1291
5,512,562,1287
6,512,490,1295
7,512,685,1288
8,512,392,1283
9,512,81,1293
10,512,415,1285
11,512,67,1287
12,512,146,1293
13,512,563,1284
14,512,507,1284
15,512,392,1287
16,512,494,1287
17,512,311,1282
18,512,613,1294
19,512,498,1289
20,512,607,1282
21,512,338,1288
22,512,257,1294
23,512,249,1294
24,512,502,1291
25,512,530,1288
26,512,661,1288
27,512,214,1286
28,512,299,1290
29,512,642,1294
30,512,703,1280
31,512,418,1281
32,512,462,1280
33,512,56,1291
34,512,674,1281
35,512,183,1288
36,512,43,1291
37,512,574,1284
38,512,125,1290
39,512,641,1285
40,512,693,1288
41,512,12,1290
42,512,154,1285
43,512,757,1292
44,512,128,1281
45,512,767,1284
46,512,139,1294
47,512,242,1294
48,512,726,1284
49,512,407,1287
50,512,167,1284
51,512,131,1286
52,512,188,1291
53,512,288,1284
54,512,707,1295
55,512,573,1295
56,512,634,1287
57,512,418,1282
58,512,679,1284
59,512,172,1292
60,512,99,1280
61,512,36,1280
62,512,600,1282
63,512,705,1292
0,512,545,1414
1,512,263,1416
2,512,294,1420
3,512,267,1422
4,512,58,1419
5,512,14,1415
6,512,665,1423
7,512,618,1416
8,512,441,1411
9,512,494,1421
10,512,202,1413
11,512,56,1415
12,512,335,1421
13,512,329,1412
14,512,313,1412
15,512,697,1415
16,512,169,1415
17,512,781,1410
18,512,267,1422
19,512,513,1417
20,512,586,1410
21,512,289,1416
22,512,778,1422
23,512,51,1422
24,512,322,1419
25,512,493,1416
26,512,675,1416
27,512,749,1414
28,512,463,1418
29,512,399,1422
30,512,4,1408
31,512,175,1409
32,512,101,1408
33,512,418,1419
34,512,536,1409
35,512,534,1416
36,512,87,1419
37,512,180,1412
38,512,446,1418
39,512,42,1413
40,512,626,1416
41,512,445,1418
42,512,314,1413
43,512,109,1420
44,512,562,1409
45,512,590,1412
46,512,695,1422
47,512,615,1422
48,512,275,1412
49,512,614,1415
50,512,475,1412
51,512,619,1414
52,512,633,1419
53,512,547,1412
54,512,219,1423
55,512,510,1423
56,512,302,1415
57,512,68,1410
58,512,506,1412
59,512,551,1420
60,512,322,1408
61,512,715,1408
62,512,598,1410
63,512,528,1420
0,512,308,1542
1,512,34,1544
2,512,559,1548
3,512,104,1550
4,512,550,1547
5,512,549,1543
6,512,718,1551
7,512,366,1544
8,512,443,1539
9,512,627,1549
10,512,108,1541
11,512,717,1543
12,512,312,1549
13,512,383,1540
14,512,397,1540
15,512,152,1543
16,512,515,1543
17,512,28,1538
18,512,668,1550
19,512,568,1545
20,512,112,1538
21,512,609,1544
22,512,703,1550
23,512,613,1550
24,512,601,1547
25,512,759,1544
26,512,398,1544
27,512,140,1542
28,512,334,1546
29,512,302,1550
30,512,431,1536
31,512,312,1537
32,512,124,1536
33,512,729,1547
34,512,423,1537
35,512,670,1544
36,512,333,1547
37,512,643,1540
38,512,620,1546
39,512,474,1541
40,512,282,1544
41,512,41,1546
42,512,722,1541
43,512,602,1548
44,512,156,1537
45,512,435,1540
46,512,542,1550
47,512,118,1550
48,512,571,1540
49,512,188,1543
50,512,170,1540
51,512,622,1542
52,512,397,1547
53,512,333,1540
54,512,583,1551
55,512,692,1551
56,512,600,1543
57,512,36,1538
58,512,192,1540
59,512,380,1548
60,512,22,1536
61,512,384,1536
62,512,791,1538
63,512,341,1548
0,512,378,1670
1,512,511,1672
2,512,411,1676
3,512,587,1678
4,512,534,1675
5,512,170,1671
6,512,546,1679
7,512,462,1672
8,512,242,1667
9,512,207,1677
10,512,211,1669
11,512,250,1671
12,512,255,1677
13,512,755,1668
14,512,471,1668
15,512,67,1671
16,512,423,1671
17,512,216,1666
18,512,318,1678
19,512,166,1673
20,512,80,1666
21,512,653,1672
22,512,528,1678
23,512,407,1678
24,512,725,1675
25,512,197,1672
26,512,497,1672
27,512,297,1670
28,512,462,1674
29,512,164,1678
30,512,16,1664
31,512,236,1665
32,512,567,1664
33,512,714,1675
34,512,154,1665
35,512,306,1672
36,512,763,1675
37,512,569,1668
38,512,71,1674
39,512,5,1669
40,512,480,1672
41,512,370,1674
42,512,333,1669
43,512,518,1676
44,512,366,1665
45,512,731,1668
46,512,699,1678
47,512,777,1678
48,512,83,1668
49,512,430,1671
50,512,379,1668
51,512,578,1670
52,512,310,1675
53,512,13,1668
54,512,564,1679
55,512,234,1679
56,512,705,1671
57,512,684,1666
58,512,113,1668
59,512,292,1676
60,512,438,1664
61,512,282,1664
62,512,294,1666
63,512,472,1676
0,512,714,1798
1,512,321,1800
2,512,391,1804
3,512,113,1806
4,512,122,1803
5,512,701,1799
6,512,125,1807
7,512,214,1800
8,512,98,1795
9,512,666,1805
10,512,741,1797
11,512,728,1799
12,512,342,1805
13,512,119,1796
14,512,565,1796
15,512,552,1799
16,512,551,1799
17,512,348,1794
18,512,186,1806
19,512,494,1801
20,512,681,1794
21,512,245,1800
22,512,697,1806
23,512,542,1806
24,512,178,1803
25,512,748,1800
26,512,147,1800
27,512,171,1798
28,512,791,1802
29,512,737,1806
30,512,355,1792
31,512,500,1793
32,512,119,1792
33,512,200,1803
34,512,349,1793
35,512,111,1800
36,512,382,1803
37,512,747,1796
38,512,334,1802
39,512,301,1797
40,512,154,1800
41,512,400,1802
42,512,487,1797
43,512,347,1804
44,512,233,1793
45,512,746,1796
46,512,698,1806
47,512,476,1806
48,512,356,1796
49,512,58,1799
50,512,729,1796
51,512,737,1798
52,512,257,1803
53,512,788,1796
54,512,178,1807
55,512,530,1807
56,512,353,1799
57,512,587,1794
58,512,351,1796
59,512,39,1804
60,512,132,1792
61,512,723,1792
62,512,592,1794
63,512,249,1804
0,512,380,1926
1,512,11,1928
2,512,656,1932
3,512,424,1934
4,512,333,1931
5,512,8,1927
6,512,159,1935
7,512,11,1928
8,512,502,1923
9,512,362,1933
10,512,396,1925
11,512,201,1927
12,512,245,1933
13,512,49,1924
14,512,17,1924
15,512,436,1927
16,512,529,1927
17,512,747,1922
18,512,581,1934
19,512,706,1929
20,512,251,1922
21,512,30,1928
22,512,314,1934
23,512,438,1934
24,512,180,1931
25,512,185,1928
26,512,367,1928
27,512,261,1926
28,512,721,1930
29,512,653,1934
30,512,443,1920
31,512,698,1921
32,512,573,1920
33,512,767,1931
34,512,402,1921
35,512,770,1928
36,512,664,1931
37,512,341,1924
38,512,219,1930
39,512,767,1925
40,512,382,1928
41,512,417,1930
42,512,276,1925
43,512,52,1932
44,512,229,1921
45,512,653,1924
46,512,84,1934
47,512,308,1934
48,512,522,1924
49,512,192,1927
50,512,98,1924
51,512,76,1926
52,512,541,1931
53,512,314,1924
54,512,401,1935
55,512,273,1935
56,512,107,1927
57,512,684,1922
58,512,10,1924
59,512,722,1932
60,512,143,1920
61,512,277,1920
62,512,54,1922
63,512,174,1932
0,512,638,2054
1,512,619,2056
2,512,542,2060
3,512,720,2062
4,512,475,2059
5,512,600,2055
6,512,494,2063
7,512,108,2056
8,512,688,2051
9,512,670,2061
10,512,81,2053
11,512,122,2055
12,512,306,2061
13,512,580,2052
14,512,703,2052
15,512,710,2055
16,512,494,2055
17,512,496,2050
18,512,277,2062
19,512,81,2057
20,512,375,2050
21,512,644,2056
22,512,738,2062
23,512,359,2062
24,512,763,2059
25,512,296,2056
26,512,583,2056
27,512,790,2054
28,512,70,2058
29,512,254,2062
30,512,340,2048
31,512,232,2049
32,512,153,2048
33,512,252,2059
34,512,30,2049
35,512,710,2056
36,512,651,2059
37,512,754,2052
38,512,420,2058
39,512,248,2053
40,512,545,2056
41,512,63,2058
42,512,424,2053
43,512,511,2060
44,512,640,2049
45,512,9,2052
46,512,119,2062
47,512,498,2062
48,512,146,2052
49,512,322,2055
50,512,614,2052
51,512,171,2054
52,512,305,2059
53,512,166,2052
54,512,62,2063
55,512,680,2063
56,512,257,2055
57,512,254,2050
58,512,76,2052
59,512,626,2060
60,512,666,2048
61,512,773,2048
62,512,774,2050
63,512,302,2060
0,512,237,2182
1,512,184,2184
2,512,450,2188
3,512,79,2190
4,512,156,2187
5,512,320,2183
6,512,35,2191
7,512,22,2184
8,512,389,2179
9,512,376,2189
10,512,429,2181
11,512,628,2183
12,512,587,2189
13,512,368,2180
14,512,655,2180
15,512,286,2183
16,512,459,2183
17,512,106,2178
18,512,489,2190
19,512,688,2185
20,512,218,2178
21,512,135,2184
22,512,215,2190
23,512,328,2190
24,512,88,2187
25,512,134,2184
26,512,121,2184
27,512,596,2182
28,512,261,2186
29,512,524,2190
30,512,395,2176
31,512,453,2177
32,512,35,2176
33,512,427,2187
34,512,129,2177
35,512,684,2184
36,512,19,2187
37,512,736,2180
38,512,691,2186
39,512,89,2181
40,512,343,2184
41,512,53,2186
42,512,148,2181
43,512,726,2188
44,512,358,2177
45,512,376,2180
46,512,678,2190
47,512,764,2190
48,512,691,2180
49,512,3,2183
50,512,775,2180
51,512,709,2182
52,512,110,2187
53,512,396,2180
54,512,598,2191
55,512,638,2191
56,512,16,2183
57,512,701,2178
58,512,379,2180
59,512,121,2188
60,512,489,2176
61,512,402,2176
62,512,763,2178
63,512,290,2188
0,512,713,2310
1,512,95,2312
2,512,406,2316
3,512,126,2318
4,512,716,2315
5,512,537,2311
6,512,500,2319
7,512,369,2312
8,512,425,2307
9,512,319,2317
10,512,58,2309
11,512,301,2311
12,512,209,2317
13,512,67,2308
14,512,686,2308
15,512,361,2311
16,512,395,2311
17,512,384,2306
18,512,201,2318
19,512,551,2313
20,512,630,2306
21,512,473,2312
22,512,10,2318
23,512,523,2318
24,512,341,2315
25,512,12,2312
26,512,664,2312
27,512,619,2310
28,512,87,2314
29,512,786,2318
30,512,49,2304
31,512,657,2305
32,512,591,2304
33,512,457,2315
34,512,753,2305
35,512,41,2312
36,512,475,2315
37,512,274,2308
38,512,717,2314
39,512,210,2309
40,512,287,2312
41,512,734,2314
42,512,299,2309
43,512,381,2316
44,512,680,2305
45,512,1,2308
46,512,463,2318
47,512,82,2318
48,512,390,2308
49,512,187,2311
50,512,9,2308
51,512,791,2310
52,512,653,2315
53,512,21,2308
54,512,653,2319
55,512,511,2319
56,512,282,2311
57,512,554,2306
58,512,415,2308
59,512,220,2316
60,512,745,2304
61,512,108,2304
62,512,3,2306
63,512,232,2316
0,512,106,2438
1,512,302,2440
2,512,77,2444
3,512,66,2446
4,512,354,2443
5,512,137,2439
6,512,736,2447
7,512,615,2440
8,512,114,2435
9,512,296,2445
10,512,49,2437
11,512,123,2439
12,512,253,2445
13,512,243,2436
14,512,591,2436
15,512,379,2439
16,512,285,2439
17,512,402,2434
18,512,174,2446
19,512,606,2441
20,512,364,2434
21,512,43,2440
22,512,520,2446
23,512,455,2446
24,512,337,2443
25,512,20,2440
26,512,27,2440
27,512,316,2438
28,512,248,2442
29,512,80,2446
30,512,80,2432
31,512,387,2433
32,512,321,2432
33,512,115,2443
34,512,185,2433
35,512,593,2440
36,512,345,2443
37,512,586,2436
38,512,24,2442
39,512,15,2437
40,512,461,2440
41,512,734,2442
42,512,446,2437
43,512,475,2444
44,512,120,2433
45,512,377,2436
46,512,595,2446
47,512,430,2446
48,512,397,2436
49,512,413,2439
50,512,182,2436
51,512,50,2438
52,512,270,2443
53,512,494,2436
54,512,355,2447
55,512,771,2447
56,512,479,2439
57,512,512,2434
58,512,515,2436
59,512,629,2444
60,512,89,2432
61,512,511,2432
62,512,464,2434
63,512,322,2444
0,512,700,2566
1,512,282,2568
2,512,1,2572
3,512,467,2574
4,512,243,2571
5,512,496,2567
6,512,751,2575
7,512,9,2568
8,512,354,2563
9,512,636,2573
10,512,723,2565
11,512,162,2567
12,512,723,2573
13,512,19,2564
14,512,23,2564
15,512,729,2567
16,512,19,2567
17,512,284,2562
18,512,47,2574
19,512,410,2569
20,512,445,2562
21,512,205,2568
22,512,210,2574
23,512,400,2574
24,512,748,2571
25,512,224,2568
26,512,551,2568
27,512,216,2566
28,512,402,2570
29,512,489,2574
30,512,137,2560
31,512,2,2561
32,512,363,2560
33,512,653,2571
34,512,769,2561
35,512,211,2568
36,512,394,2571
37,512,573,2564
38,512,680,2570
39,512,205,2565
40,512,756,2568
41,512,674,2570
42,512,381,2565
43,512,473,2572
44,512,775,2561
45,512,279,2564
46,512,609,2574
47,512,237,2574
48,512,19,2564
49,512,591,2567
50,512,536,2564
51,512,739,2566
52,512,585,2571
53,512,339,2564
54,512,471,2575
55,512,606,2575
56,512,631,2567
57,512,308,2562
58,512,225,2564
59,512,734,2572
60,512,529,2560
61,512,480,2560
62,512,72,2562
63,512,259,2572
0,512,531,2694
1,512,119,2696
2,512,788,2700
3,512,120,2702
4,512,702,2699
5,512,642,2695
6,512,420,2703
7,512,415,2696
8,512,607,2691
9,512,19,2701
10,512,39,2693
11,512,400,2695
12,512,64,2701
13,512,393,2692
14,512,493,2692
15,512,386,2695
16,512,92,2695
17,512,666,2690
18,512,31,2702
19,512,164,2697
20,512,7,2690
21,512,278,2696
22,512,649,2702
23,512,190,2702
24,512,667,2699
25,512,471,2696
26,512,78,2696
27,512,504,2694
28,512,319,2698
29,512,110,2702
30,512,236,2688
31,512,116,2689
32,512,735,2688
33,512,298,2699
34,512,332,2689
35,512,274,2696
36,512,76,2699
37,512,632,2692
38,512,677,2698
39,512,357,2693
40,512,508,2696
41,512,9,2698
42,512,283,2693
43,512,336,2700
44,512,726,2689
45,512,302,2692
46,512,541,2702
47,512,712,2702
48,512,570,2692
49,512,81,2695
50,512,492,2692
51,512,704,2694
52,512,366,2699
53,512,589,2692
54,512,48,2703
55,512,267,2703
56,512,93,2695
57,512,96,2690
58,512,153,2692
59,512,16,2700
60,512,120,2688
61,512,234,2688
62,512,109,2690
63,512,745,2700
0,512,702,2822
1,512,790,2824
2,512,430,2828
3,512,71,2830
4,512,79,2827
5,512,259,2823
6,512,776,2831
7,512,553,2824
8,512,675,2819
9,512,404,2829
10,512,531,2821
11,512,297,2823
12,512,724,2829
