port,pkt_size,flowid,time
0,64,152,5
1,64,202,2
2,64,10,5
3,64,193,9
4,64,332,3
5,64,395,7
6,64,175,13
7,64,812,5
8,64,10,10
9,64,178,15
10,64,33,5
11,64,27,1
12,64,97,12
13,64,186,7
14,64,199,12
15,64,2,4
16,64,129,3
17,64,240,5
18,64,116,12
19,64,4,5
20,64,15,3
21,64,206,13
22,64,186,2
23,64,98,1
24,64,253,3
25,64,207,2
26,64,131,0
27,64,116,3
28,64,139,8
29,64,110,5
30,64,78,9
31,64,7,11
32,64,17,6
33,64,219,13
34,64,43,2
35,64,216,8
36,64,123,7
37,64,205,7
38,64,170,2
39,64,114,11
40,64,19,5
41,64,118,13
42,64,182,6
43,64,232,14
44,64,214,11
45,64,7,12
46,64,67,3
47,64,10,4
48,64,144,15
49,64,162,3
50,64,12,1
51,64,94,6
52,64,52,2
53,64,68,2
54,64,108,7
55,64,81,9
56,64,52,5
57,64,188,15
58,64,136,0
59,64,136,8
60,64,242,5
61,64,105,15
62,64,178,3
63,64,59,6
0,64,20,21
1,64,108,18
2,64,127,21
3,64,66,25
4,64,51,19
5,64,70,23
6,64,137,29
7,64,240,21
8,64,108,26
9,64,6,31
10,64,16,21
11,64,189,17
12,64,52,28
13,64,12,23
14,64,37,28
15,64,99,20
16,64,159,19
17,64,60,21
18,64,95,28
19,64,156,21
20,64,158,19
21,64,100,29
22,64,58,18
23,64,35,17
24,64,110,19
25,64,182,18
26,64,134,16
27,64,359,19
28,64,151,24
29,64,88,21
30,64,18,25
31,64,6,27
32,64,164,22
33,64,237,29
34,64,242,18
35,64,47,24
36,64,148,23
37,64,1,23
38,64,129,18
39,64,164,27
40,64,102,21
41,64,140,29
42,64,47,22
43,64,215,30
44,64,158,27
45,64,161,28
46,64,44,19
47,64,70,20
48,64,143,31
49,64,48,19
50,64,85,17
51,64,9,22
52,64,114,18
53,64,134,18
54,64,23,23
55,64,85,25
56,64,237,21
57,64,74,31
58,64,47,16
59,64,179,24
60,64,207,21
61,64,64,31
62,64,13,19
63,64,8,22
0,64,162,37
1,64,99,34
2,64,160,37
3,64,24,41
4,64,186,35
5,64,58,39
6,64,209,45
7,64,33,37
8,64,169,42
9,64,25,47
10,64,65,37
11,64,244,33
12,64,12,44
13,64,110,39
14,64,118,44
15,64,60,36
16,64,145,35
17,64,241,37
18,64,404,44
19,64,107,37
20,64,81,35
21,64,187,45
22,64,107,34
23,64,70,33
24,64,215,35
25,64,154,34
26,64,207,32
27,64,102,35
28,64,243,40
29,64,142,37
30,64,106,41
31,64,90,43
32,64,100,38
33,64,91,45
34,64,182,34
35,64,120,40
36,64,134,39
37,64,182,39
38,64,141,34
39,64,233,43
40,64,45,37
41,64,697,45
42,64,223,38
43,64,60,46
44,64,122,43
45,64,80,44
46,64,210,35
47,64,169,36
48,64,216,47
49,64,8,35
50,64,225,33
51,64,232,38
52,64,111,34
53,64,493,34
54,64,3,39
55,64,130,41
56,64,42,37
57,64,97,47
58,64,103,32
59,64,65,40
60,64,18,37
61,64,88,47
62,64,8,35
63,64,45,38
0,64,19,53
1,64,40,50
2,64,192,53
3,64,45,57
4,64,95,51
5,64,77,55
6,64,395,61
7,64,242,53
8,64,26,58
9,64,95,63
10,64,71,53
11,64,237,49
12,64,54,60
13,64,209,55
14,64,129,60
15,64,201,52
16,64,101,51
17,64,23,53
18,64,187,60
19,64,26,53
20,64,185,51
21,64,173,61
22,64,156,50
23,64,200,49
24,64,221,51
25,64,122,50
26,64,84,48
27,64,145,51
28,64,236,56
29,64,134,53
30,64,156,57
31,64,246,59
32,64,134,54
33,64,87,61
34,64,43,50
35,64,479,56
36,64,1,55
37,64,158,55
