port,pkt_size,flowid,time
0,64,215,18
1,64,55,8
2,64,530,0
3,64,196,2
4,64,216,6
5,64,104,30
6,64,193,27
7,64,185,17
8,64,723,27
9,64,418,21
10,64,211,7
11,64,120,16
12,64,52,8
13,64,141,14
14,64,8,21
15,64,177,5
16,64,266,9
17,64,137,2
18,64,187,8
19,64,127,23
20,64,232,2
21,64,90,23
22,64,23,26
23,64,222,14
24,64,136,22
25,64,27,19
26,64,193,8
27,64,156,10
28,64,124,19
29,64,20,29
30,64,168,13
31,64,113,21
32,64,187,23
33,64,91,10
34,64,105,30
35,64,205,20
36,64,4,20
37,64,65,5
38,64,608,29
39,64,178,18
40,64,207,30
41,64,220,10
42,64,124,23
43,64,225,10
44,64,47,26
45,64,195,12
46,64,74,10
47,64,228,5
48,64,161,27
49,64,44,23
50,64,85,0
51,64,21,14
52,64,120,26
53,64,213,24
54,64,229,7
55,64,76,29
56,64,71,27
57,64,166,26
58,64,13,9
59,64,19,28
60,64,73,27
61,64,159,17
62,64,108,29
63,64,35,14
0,64,153,50
1,64,101,40
2,64,58,32
3,64,36,34
4,64,221,38
5,64,119,62
6,64,30,59
7,64,226,49
8,64,705,59
9,64,100,53
10,64,181,39
11,64,126,48
12,64,211,40
13,64,42,46
14,64,6,53
15,64,114,37
16,64,123,41
17,64,78,34
18,64,150,40
19,64,94,55
20,64,76,34
21,64,225,55
22,64,207,58
23,64,135,46
24,64,10,54
25,64,70,51
26,64,130,40
27,64,202,42
28,64,229,51
29,64,236,61
30,64,77,45
31,64,98,53
32,64,213,55
33,64,167,42
34,64,602,62
35,64,143,52
36,64,69,52
37,64,91,37
38,64,157,61
39,64,12,50
40,64,570,62
41,64,201,42
42,64,189,55
43,64,126,42
44,64,166,58
45,64,227,44
46,64,10,42
47,64,224,37
48,64,94,59
49,64,216,55
50,64,89,32
51,64,120,46
52,64,140,58
53,64,138,56
54,64,124,39
55,64,227,61
56,64,171,59
57,64,216,58
58,64,17,41
59,64,74,60
60,64,228,59
61,64,53,49
62,64,140,61
63,64,68,46
0,64,22,82
1,64,127,72
2,64,128,64
3,64,222,66
4,64,37,70
5,64,1,94
6,64,117,91
7,64,185,81
8,64,144,91
9,64,180,85
10,64,76,71
11,64,198,80
12,64,13,72
13,64,185,78
14,64,48,85
15,64,132,69
16,64,75,73
17,64,122,66
18,64,178,72
19,64,87,87
20,64,59,66
21,64,160,87
22,64,115,90
23,64,33,78
24,64,178,86
25,64,148,83
26,64,96,72
27,64,69,74
28,64,164,83
29,64,213,93
30,64,229,77
31,64,228,85
32,64,213,87
33,64,44,74
34,64,3,94
35,64,78,84
36,64,217,84
37,64,4,69
38,64,151,93
39,64,172,82
40,64,150,94
41,64,126,74
42,64,124,87
43,64,184,74
44,64,708,90
45,64,99,76
46,64,173,74
47,64,203,69
48,64,148,91
49,64,121,87
50,64,40,64
51,64,190,78
52,64,72,90
53,64,213,88
54,64,19,71
55,64,137,93
56,64,108,91
57,64,213,90
58,64,183,73
59,64,51,92
60,64,174,91
61,64,230,81
62,64,159,93
63,64,53,78
0,64,58,114
1,64,465,104
2,64,107,96
3,64,215,98
4,64,226,102
5,64,46,126
6,64,227,123
7,64,87,113
8,64,128,123
9,64,109,117
10,64,29,103
11,64,31,112
12,64,32,104
13,64,447,110
14,64,121,117
15,64,34,101
16,64,160,105
17,64,53,98
18,64,63,104
19,64,215,119
20,64,144,98
21,64,202,119
22,64,79,122
23,64,41,110
24,64,122,118
25,64,152,115
26,64,89,104
27,64,99,106
28,64,91,115
29,64,10,125
30,64,174,109
31,64,75,117
32,64,190,119
33,64,105,106
34,64,149,126
35,64,63,116
36,64,128,116
37,64,110,101
38,64,211,125
39,64,754,114
40,64,109,126
41,64,41,106
42,64,7,119
43,64,162,106
44,64,199,122
45,64,144,108
46,64,126,106
47,64,9,101
48,64,95,123
49,64,28,119
50,64,41,96
51,64,5,110
52,64,153,122
53,64,111,120
54,64,84,103
55,64,186,125
56,64,137,123
57,64,12,122
58,64,459,105
59,64,227,124
60,64,161,123
61,64,71,113
62,64,70,125
63,64,142,110
0,64,213,146
1,64,126,136
2,64,111,128
3,64,160,130
4,64,216,134
5,64,120,158
6,64,20,155
7,64,216,145
8,64,184,155
9,64,124,149
10,64,44,135
11,64,33,144
12,64,87,136
13,64,81,142
14,64,104,149
15,64,82,133
16,64,7,137
17,64,135,130
18,64,114,136
19,64,516,151
20,64,212,130
21,64,204,151
22,64,139,154
23,64,323,142
24,64,9,150
25,64,572,147
26,64,210,136
27,64,56,138
28,64,67,147
29,64,211,157
30,64,199,141
31,64,218,149
32,64,1,151
33,64,210,138
34,64,149,158
35,64,67,148
36,64,117,148
37,64,188,133
38,64,64,157
39,64,11,146
40,64,87,158
41,64,179,138
42,64,4,151
43,64,218,138
44,64,23,154
45,64,189,140
46,64,51,138
47,64,43,133
48,64,182,155
49,64,227,151
50,64,212,128
51,64,197,142
52,64,8,154
53,64,155,152
54,64,26,135
55,64,10,157
56,64,100,155
57,64,166,154
58,64,162,137
59,64,46,156
60,64,99,155
61,64,38,145
62,64,176,157
63,64,9,142
0,64,175,178
1,64,216,168
2,64,63,160
3,64,100,162
4,64,229,166
5,64,30,190
6,64,148,187
7,64,17,177
8,64,493,187
9,64,35,181
10,64,65,167
11,64,146,176
12,64,176,168
13,64,99,174
14,64,158,181
15,64,84,165
16,64,231,169
17,64,172,162
18,64,224,168
19,64,169,183
20,64,59,162
21,64,14,183
22,64,48,186
23,64,225,174
24,64,111,182
25,64,204,179
26,64,145,168
27,64,152,170
28,64,122,179
29,64,3,189
30,64,56,173
31,64,557,181
32,64,201,183
33,64,63,170
34,64,79,190
35,64,140,180
36,64,117,180
37,64,126,165
38,64,6,189
39,64,108,178
40,64,8,190
41,64,102,170
42,64,160,183
43,64,52,170
44,64,226,186
45,64,160,172
46,64,46,170
47,64,151,165
48,64,102,187
49,64,217,183
50,64,42,160
51,64,11,174
52,64,97,186
53,64,227,184
54,64,111,167
55,64,67,189
56,64,14,187
57,64,159,186
58,64,184,169
59,64,761,188
60,64,92,187
61,64,153,177
62,64,12,189
63,64,142,174
0,64,84,210
1,64,213,200
2,64,155,192
3,64,7,194
4,64,228,198
5,64,20,222
6,64,60,219
7,64,262,209
8,64,227,219
9,64,57,213
10,64,51,199
11,64,138,208
12,64,13,200
13,64,183,206
14,64,216,213
15,64,60,197
16,64,30,201
17,64,445,194
18,64,18,200
19,64,379,215
20,64,28,194
21,64,12,215
22,64,59,218
23,64,6,206
24,64,91,214
25,64,349,211
26,64,37,200
27,64,201,202
28,64,165,211
29,64,127,221
30,64,43,205
31,64,203,213
32,64,163,215
33,64,89,202
34,64,91,222
35,64,110,212
36,64,34,212
37,64,142,197
38,64,10,221
39,64,100,210
40,64,97,222
41,64,206,202
42,64,47,215
43,64,182,202
44,64,37,218
45,64,25,204
46,64,116,202
47,64,49,197
48,64,178,219
49,64,4,215
50,64,191,192
51,64,188,206
52,64,538,218
53,64,13,216
54,64,17,199
55,64,191,221
56,64,11,219
57,64,348,218
58,64,157,201
59,64,157,220
60,64,16,219
61,64,50,209
62,64,143,221
63,64,217,206
0,64,229,242
1,64,66,232
2,64,93,224
3,64,568,226
4,64,163,230
5,64,23,254
6,64,220,251
7,64,110,241
8,64,62,251
9,64,620,245
10,64,186,231
11,64,173,240
12,64,59,232
13,64,218,238
14,64,36,245
15,64,203,229
16,64,16,233
17,64,80,226
18,64,130,232
19,64,102,247
20,64,73,226
21,64,169,247
22,64,73,250
23,64,163,238
24,64,220,246
25,64,62,243
26,64,288,232
27,64,32,234
28,64,193,243
29,64,6,253
30,64,126,237
31,64,577,245
32,64,179,247
33,64,40,234
34,64,186,254
35,64,87,244
36,64,5,244
37,64,215,229
38,64,219,253
39,64,147,242
40,64,105,254
41,64,161,234
42,64,207,247
43,64,146,234
44,64,93,250
45,64,44,236
46,64,22,234
47,64,139,229
48,64,74,251
49,64,211,247
50,64,40,224
51,64,631,238
52,64,188,250
53,64,199,248
54,64,140,231
55,64,611,253
56,64,165,251
57,64,215,250
58,64,101,233
59,64,185,252
60,64,187,251
61,64,140,241
62,64,171,253
63,64,213,238
0,64,228,274
1,64,216,264
2,64,162,256
3,64,191,258
4,64,160,262
5,64,92,286
6,64,86,283
7,64,207,273
8,64,67,283
9,64,65,277
10,64,142,263
11,64,72,272
12,64,178,264
13,64,142,270
14,64,79,277
15,64,60,261
16,64,9,265
17,64,14,258
18,64,229,264
19,64,212,279
20,64,231,258
21,64,5,279
22,64,186,282
23,64,35,270
24,64,142,278
25,64,166,275
26,64,3,264
27,64,150,266
28,64,190,275
29,64,40,285
30,64,103,269
31,64,126,277
32,64,167,279
33,64,2,266
34,64,46,286
35,64,7,276
36,64,88,276
37,64,74,261
38,64,216,285
39,64,369,274
40,64,232,286
41,64,105,266
42,64,33,279
43,64,42,266
44,64,99,282
45,64,188,268
46,64,17,266
47,64,204,261
48,64,107,283
49,64,177,279
50,64,12,256
51,64,118,270
52,64,156,282
53,64,28,280
54,64,213,263
55,64,176,285
56,64,17,283
57,64,10,282
58,64,137,265
59,64,43,284
60,64,25,283
61,64,95,273
62,64,616,285
63,64,9,270
0,64,50,306
1,64,164,296
2,64,164,288
3,64,10,290
4,64,19,294
5,64,153,318
6,64,116,315
7,64,28,305
8,64,59,315
9,64,91,309
10,64,113,295
11,64,181,304
12,64,30,296
13,64,110,302
14,64,129,309
15,64,55,293
16,64,87,297
17,64,124,290
18,64,157,296
19,64,85,311
20,64,432,290
21,64,164,311
22,64,52,314
23,64,113,302
24,64,85,310
25,64,389,307
26,64,153,296
27,64,85,298
28,64,216,307
29,64,205,317
30,64,56,301
31,64,127,309
32,64,62,311
33,64,192,298
34,64,10,318
35,64,96,308
36,64,126,308
37,64,197,293
38,64,202,317
39,64,36,306
40,64,205,318
41,64,229,298
42,64,154,311
43,64,118,298
44,64,109,314
45,64,187,300
46,64,44,298
47,64,101,293
48,64,223,315
49,64,26,311
50,64,63,288
51,64,211,302
52,64,126,314
53,64,192,312
54,64,179,295
55,64,58,317
56,64,37,315
57,64,219,314
58,64,186,297
59,64,21,316
60,64,139,315
61,64,100,305
62,64,105,317
63,64,109,302
0,64,11,338
1,64,6,328
2,64,141,320
3,64,130,322
4,64,182,326
5,64,127,350
6,64,216,347
7,64,29,337
8,64,185,347
9,64,95,341
10,64,124,327
11,64,210,336
12,64,224,328
13,64,217,334
14,64,166,341
15,64,164,325
16,64,206,329
17,64,45,322
18,64,65,328
19,64,6,343
20,64,224,322
21,64,117,343
22,64,121,346
23,64,143,334
24,64,164,342
25,64,122,339
26,64,209,328
27,64,321,330
28,64,24,339
29,64,40,349
30,64,61,333
31,64,125,341
32,64,117,343
33,64,91,330
34,64,196,350
35,64,65,340
36,64,109,340
37,64,130,325
38,64,138,349
39,64,103,338
40,64,123,350
41,64,142,330
42,64,145,343
43,64,41,330
44,64,123,346
45,64,131,332
46,64,159,330
47,64,110,325
48,64,593,347
49,64,57,343
50,64,111,320
51,64,219,334
52,64,207,346
53,64,25,344
54,64,216,327
55,64,120,349
56,64,755,347
57,64,31,346
58,64,113,329
59,64,37,348
60,64,216,347
61,64,66,337
62,64,201,349
63,64,400,334
0,64,217,370
1,64,95,360
2,64,38,352
3,64,230,354
4,64,206,358
5,64,24,382
6,64,138,379
7,64,32,369
8,64,52,379
9,64,169,373
10,64,222,359
11,64,156,368
12,64,152,360
13,64,156,366
14,64,51,373
15,64,43,357
16,64,9,361
17,64,208,354
18,64,146,360
19,64,14,375
20,64,168,354
21,64,454,375
22,64,163,378
23,64,192,366
24,64,230,374
25,64,66,371
26,64,213,360
27,64,57,362
28,64,56,371
29,64,265,381
30,64,61,365
31,64,187,373
32,64,131,375
33,64,128,362
34,64,229,382
35,64,82,372
36,64,153,372
37,64,63,357
38,64,146,381
39,64,31,370
40,64,112,382
41,64,111,362
42,64,5,375
43,64,160,362
44,64,58,378
45,64,34,364
46,64,77,362
47,64,1,357
48,64,90,379
49,64,88,375
50,64,142,352
51,64,222,366
52,64,441,378
53,64,49,376
54,64,252,359
55,64,6,381
56,64,176,379
57,64,45,378
58,64,145,361
59,64,45,380
60,64,508,379
61,64,142,369
62,64,61,381
63,64,195,366
0,64,58,402
1,64,95,392
2,64,196,384
3,64,60,386
4,64,81,390
5,64,5,414
6,64,128,411
7,64,36,401
8,64,198,411
9,64,53,405
10,64,128,391
11,64,175,400
12,64,140,392
13,64,210,398
14,64,154,405
15,64,100,389
16,64,213,393
17,64,91,386
18,64,76,392
19,64,180,407
20,64,143,386
21,64,43,407
22,64,217,410
23,64,90,398
24,64,158,406
25,64,154,403
26,64,185,392
27,64,30,394
28,64,226,403
29,64,84,413
30,64,622,397
31,64,91,405
32,64,97,407
33,64,14,394
34,64,4,414
35,64,73,404
36,64,69,404
37,64,103,389
38,64,115,413
39,64,177,402
40,64,201,414
41,64,124,394
42,64,56,407
43,64,232,394
44,64,95,410
45,64,226,396
46,64,729,394
47,64,155,389
48,64,199,411
49,64,13,407
50,64,56,384
51,64,160,398
52,64,120,410
53,64,226,408
54,64,46,391
55,64,161,413
56,64,221,411
57,64,22,410
58,64,202,393
59,64,21,412
60,64,226,411
61,64,210,401
62,64,119,413
63,64,110,398
0,64,61,434
1,64,127,424
2,64,185,416
3,64,181,418
4,64,81,422
5,64,165,446
6,64,153,443
7,64,11,433
8,64,111,443
9,64,51,437
10,64,121,423
11,64,161,432
12,64,180,424
13,64,96,430
14,64,22,437
15,64,197,421
16,64,74,425
17,64,175,418
18,64,674,424
19,64,18,439
20,64,210,418
21,64,64,439
22,64,62,442
23,64,21,430
24,64,75,438
25,64,222,435
26,64,60,424
27,64,4,426
28,64,184,435
29,64,9,445
30,64,167,429
31,64,163,437
32,64,42,439
33,64,760,426
34,64,129,446
35,64,210,436
36,64,85,436
37,64,150,421
38,64,113,445
39,64,80,434
40,64,115,446
41,64,224,426
42,64,1,439
43,64,201,426
44,64,216,442
45,64,231,428
46,64,114,426
47,64,66,421
48,64,46,443
49,64,123,439
50,64,151,416
51,64,222,430
52,64,39,442
53,64,471,440
54,64,187,423
55,64,15,445
56,64,102,443
57,64,154,442
58,64,165,425
59,64,103,444
60,64,231,443
61,64,46,433
62,64,185,445
63,64,115,430
0,64,29,466
1,64,32,456
2,64,205,448
3,64,60,450
4,64,118,454
5,64,154,478
6,64,50,475
7,64,188,465
8,64,38,475
9,64,38,469
10,64,108,455
11,64,320,464
12,64,97,456
13,64,50,462
14,64,231,469
15,64,11,453
16,64,122,457
17,64,56,450
18,64,36,456
19,64,38,471
20,64,164,450
21,64,7,471
22,64,168,474
23,64,115,462
24,64,66,470
25,64,150,467
26,64,208,456
27,64,193,458
28,64,118,467
29,64,63,477
30,64,141,461
31,64,229,469
32,64,9,471
33,64,41,458
34,64,207,478
35,64,155,468
36,64,168,468
37,64,181,453
38,64,207,477
39,64,15,466
40,64,33,478
41,64,170,458
42,64,74,471
43,64,11,458
44,64,117,474
45,64,142,460
46,64,195,458
47,64,168,453
48,64,399,475
49,64,25,471
50,64,47,448
51,64,18,462
52,64,5,474
53,64,4,472
54,64,49,455
55,64,221,477
56,64,216,475
57,64,149,474
58,64,92,457
59,64,149,476
60,64,144,475
61,64,146,465
62,64,95,477
63,64,158,462
0,64,224,498
1,64,142,488
2,64,23,480
3,64,142,482
4,64,85,486
5,64,231,510
6,64,212,507
7,64,147,497
8,64,130,507
9,64,189,501
10,64,29,487
11,64,217,496
12,64,50,488
13,64,63,494
14,64,136,501
15,64,138,485
16,64,17,489
17,64,125,482
18,64,33,488
19,64,203,503
20,64,54,482
21,64,93,503
22,64,69,506
23,64,98,494
24,64,92,502
25,64,135,499
26,64,150,488
27,64,69,490
28,64,202,499
29,64,221,509
30,64,86,493
31,64,208,501
32,64,16,503
33,64,186,490
34,64,219,510
35,64,76,500
36,64,11,500
37,64,26,485
38,64,24,509
39,64,184,498
40,64,79,510
41,64,191,490
42,64,73,503
43,64,167,490
44,64,176,506
45,64,173,492
46,64,133,490
47,64,134,485
48,64,223,507
49,64,593,503
50,64,91,480
51,64,121,494
52,64,59,506
53,64,231,504
54,64,78,487
55,64,29,509
56,64,129,507
57,64,6,506
58,64,173,489
59,64,113,508
60,64,110,507
61,64,196,497
62,64,204,509
63,64,4,494
0,64,214,530
1,64,165,520
2,64,228,512
3,64,41,514
4,64,184,518
5,64,82,542
6,64,92,539
7,64,167,529
8,64,169,539
9,64,209,533
10,64,104,519
11,64,158,528
12,64,240,520
13,64,182,526
14,64,76,533
15,64,9,517
16,64,132,521
17,64,34,514
18,64,18,520
19,64,62,535
20,64,169,514
21,64,52,535
