port,pkt_size,flowid,time
0,64,746,1
1,64,611,3
2,64,314,1
3,64,703,7
4,64,740,7
5,64,333,0
6,64,17,1
7,64,746,7
8,64,692,6
9,64,296,5
10,64,8,1
11,64,189,5
12,64,207,0
13,64,303,2
14,64,84,5
15,64,688,4
16,64,250,1
17,64,146,5
18,64,368,0
19,64,594,6
20,64,64,6
21,64,238,3
22,64,513,2
23,64,245,1
24,64,438,0
25,64,147,5
26,64,253,1
27,64,61,4
28,64,94,1
29,64,6,5
30,64,58,3
31,64,711,5
32,64,430,2
33,64,651,6
34,64,599,0
35,64,234,6
36,64,761,5
37,64,125,7
38,64,464,3
39,64,62,0
40,64,597,1
41,64,259,3
42,64,422,7
43,64,19,3
44,64,672,1
45,64,709,6
46,64,259,7
47,64,697,1
48,64,22,3
49,64,298,6
50,64,435,1
51,64,517,3
52,64,171,6
53,64,187,4
54,64,282,6
55,64,95,4
56,64,336,7
57,64,605,3
58,64,488,3
59,64,496,5
60,64,97,4
61,64,464,0
62,64,53,6
63,64,710,2
0,64,490,9
1,64,580,11
2,64,252,9
3,64,207,15
4,64,413,15
5,64,483,8
6,64,606,9
7,64,321,15
8,64,488,14
9,64,189,13
10,64,256,9
11,64,158,13
12,64,593,8
13,64,399,10
14,64,269,13
15,64,318,12
16,64,287,9
17,64,175,13
18,64,231,8
19,64,195,14
20,64,609,14
21,64,503,11
22,64,240,10
23,64,264,9
24,64,332,8
25,64,4,13
26,64,471,9
27,64,564,12
28,64,33,9
29,64,599,13
30,64,765,11
31,64,329,13
32,64,147,10
33,64,121,14
34,64,353,8
35,64,277,14
36,64,715,13
37,64,567,15
38,64,607,11
39,64,200,8
40,64,298,9
41,64,730,11
42,64,628,15
43,64,252,11
44,64,402,9
45,64,623,14
46,64,271,15
47,64,665,9
48,64,590,11
49,64,416,14
50,64,325,9
51,64,258,11
52,64,743,14
53,64,412,12
54,64,310,14
55,64,12,12
56,64,34,15
57,64,210,11
58,64,109,11
59,64,474,13
60,64,520,12
61,64,581,8
62,64,317,14
63,64,636,10
0,64,507,17
1,64,269,19
2,64,84,17
3,64,526,23
4,64,451,23
5,64,111,16
6,64,222,17
7,64,461,23
8,64,732,22
9,64,67,21
10,64,255,17
11,64,659,21
12,64,216,16
13,64,113,18
14,64,698,21
15,64,49,20
16,64,291,17
17,64,363,21
18,64,147,16
19,64,764,22
20,64,18,22
21,64,759,19
22,64,663,18
23,64,456,17
24,64,175,16
25,64,636,21
26,64,520,17
27,64,220,20
28,64,281,17
29,64,515,21
30,64,675,19
31,64,338,21
32,64,419,18
33,64,102,22
34,64,466,16
35,64,207,22
36,64,73,21
37,64,560,23
38,64,697,19
39,64,700,16
40,64,16,17
41,64,606,19
42,64,472,23
43,64,696,19
44,64,712,17
45,64,11,22
46,64,164,23
47,64,643,17
48,64,231,19
49,64,315,22
50,64,269,17
51,64,329,19
52,64,20,22
53,64,740,20
54,64,93,22
55,64,317,20
56,64,342,23
57,64,711,19
58,64,518,19
59,64,308,21
60,64,292,20
61,64,257,16
62,64,178,22
63,64,263,18
0,64,600,25
1,64,461,27
2,64,509,25
3,64,460,31
4,64,85,31
5,64,712,24
6,64,85,25
7,64,190,31
8,64,128,30
9,64,635,29
10,64,286,25
11,64,148,29
12,64,204,24
13,64,752,26
14,64,679,29
15,64,719,28
16,64,220,25
17,64,278,29
18,64,709,24
19,64,305,30
20,64,235,30
21,64,550,27
22,64,500,26
23,64,703,25
24,64,644,24
25,64,616,29
26,64,20,25
27,64,75,28
28,64,679,25
29,64,757,29
30,64,98,27
31,64,277,29
32,64,207,26
33,64,439,30
34,64,439,24
35,64,593,30
36,64,274,29
37,64,425,31
38,64,60,27
39,64,138,24
40,64,495,25
41,64,288,27
42,64,726,31
43,64,456,27
44,64,311,25
45,64,586,30
46,64,654,31
47,64,111,25
48,64,422,27
49,64,71,30
50,64,577,25
51,64,763,27
52,64,496,30
53,64,126,28
54,64,341,30
55,64,641,28
56,64,733,31
57,64,741,27
58,64,379,27
59,64,679,29
60,64,82,28
61,64,149,24
62,64,427,30
63,64,715,26
0,64,238,33
1,64,517,35
2,64,264,33
3,64,557,39
4,64,382,39
5,64,14,32
6,64,170,33
7,64,47,39
8,64,719,38
9,64,251,37
10,64,332,33
11,64,481,37
12,64,739,32
13,64,737,34
14,64,609,37
15,64,297,36
16,64,19,33
17,64,320,37
18,64,564,32
19,64,244,38
20,64,620,38
21,64,9,35
22,64,75,34
23,64,419,33
24,64,377,32
25,64,110,37
26,64,749,33
27,64,712,36
28,64,553,33
29,64,342,37
30,64,109,35
31,64,46,37
32,64,146,34
33,64,625,38
34,64,103,32
35,64,762,38
36,64,417,37
37,64,692,39
38,64,425,35
39,64,677,32
40,64,482,33
41,64,172,35
42,64,331,39
43,64,729,35
44,64,351,33
45,64,339,38
46,64,248,39
47,64,689,33
48,64,371,35
49,64,429,38
50,64,181,33
51,64,519,35
52,64,705,38
53,64,571,36
54,64,83,38
55,64,32,36
56,64,279,39
57,64,139,35
58,64,545,35
59,64,68,37
60,64,320,36
61,64,710,32
62,64,105,38
63,64,207,34
0,64,246,41
1,64,98,43
2,64,209,41
3,64,114,47
4,64,504,47
5,64,157,40
6,64,227,41
7,64,46,47
8,64,181,46
9,64,718,45
10,64,586,41
11,64,197,45
12,64,588,40
13,64,530,42
14,64,100,45
15,64,171,44
16,64,46,41
17,64,78,45
18,64,333,40
19,64,63,46
20,64,36,46
21,64,89,43
22,64,713,42
23,64,537,41
24,64,645,40
25,64,127,45
26,64,554,41
27,64,189,44
28,64,373,41
29,64,279,45
30,64,213,43
31,64,86,45
32,64,133,42
33,64,417,46
34,64,136,40
35,64,766,46
36,64,688,45
37,64,97,47
38,64,546,43
39,64,381,40
40,64,371,41
41,64,461,43
42,64,441,47
43,64,517,43
44,64,685,41
45,64,748,46
46,64,675,47
47,64,760,41
48,64,725,43
49,64,190,46
50,64,124,41
51,64,9,43
52,64,754,46
53,64,754,44
54,64,188,46
55,64,560,44
56,64,435,47
57,64,443,43
58,64,609,43
59,64,501,45
60,64,665,44
61,64,404,40
62,64,710,46
63,64,412,42
0,64,207,49
1,64,385,51
2,64,656,49
3,64,79,55
4,64,717,55
5,64,91,48
6,64,422,49
7,64,1,55
8,64,107,54
9,64,561,53
10,64,280,49
11,64,300,53
12,64,397,48
13,64,15,50
14,64,411,53
15,64,682,52
16,64,401,49
17,64,81,53
18,64,3,48
19,64,682,54
20,64,656,54
21,64,367,51
22,64,452,50
23,64,474,49
24,64,271,48
25,64,282,53
26,64,51,49
27,64,269,52
28,64,381,49
29,64,340,53
30,64,308,51
31,64,49,53
32,64,4,50
33,64,328,54
34,64,179,48
35,64,769,54
36,64,352,53
37,64,514,55
38,64,115,51
39,64,81,48
40,64,389,49
41,64,59,51
42,64,383,55
43,64,271,51
44,64,155,49
45,64,477,54
46,64,664,55
47,64,702,49
48,64,141,51
49,64,447,54
50,64,648,49
51,64,380,51
52,64,757,54
53,64,420,52
54,64,732,54
55,64,161,52
56,64,277,55
57,64,651,51
58,64,695,51
59,64,453,53
60,64,730,52
61,64,158,48
62,64,672,54
63,64,524,50
0,64,720,57
1,64,582,59
2,64,182,57
3,64,188,63
4,64,266,63
5,64,52,56
6,64,115,57
7,64,704,63
8,64,177,62
9,64,459,61
10,64,399,57
11,64,236,61
12,64,653,56
13,64,112,58
14,64,591,61
15,64,547,60
