port,pkt_size,flowid,time
0,256,172,2
1,256,307,3
2,256,24,2
3,1472,101,1
4,256,288,1
5,1472,147,2
6,256,56,2
7,256,2,3
8,1472,37,1
9,1472,231,1
10,256,70,3
11,256,22,1
12,1472,288,2
13,256,189,2
14,256,8,1
15,256,46,2
16,256,257,3
17,256,700,1
18,1472,23,3
19,1472,52,2
20,256,104,2
21,1472,161,3
22,1472,105,0
23,1472,59,3
24,256,281,0
25,256,4,1
26,1472,653,0
27,1472,172,0
28,256,206,0
29,1472,124,0
30,1472,71,2
31,256,302,1
32,256,134,3
33,1472,168,0
34,256,79,1
35,1472,225,1
36,256,187,2
37,256,34,0
38,256,38,3
39,256,597,3
40,1472,264,2
41,1472,203,0
42,1472,189,2
43,256,162,0
44,1472,49,0
45,256,263,1
46,1472,98,2
47,256,186,1
48,256,33,1
49,1472,152,2
50,256,279,0
51,256,58,2
52,1472,163,2
53,256,1,1
54,256,165,3
55,256,23,3
56,256,242,0
57,256,103,3
58,256,532,1
59,256,205,1
60,256,42,3
61,1472,305,3
62,256,23,2
63,1472,7,3
0,1472,245,18
1,1472,50,19
2,1472,268,18
3,1472,132,93
4,1472,72,17
5,1472,121,94
6,256,118,18
7,1472,16,19
8,1472,86,93
9,1472,184,93
10,256,497,19
11,256,186,17
12,256,104,94
13,256,14,18
14,1472,22,17
15,1472,133,18
16,256,290,19
17,256,232,17
18,256,86,95
19,256,62,94
20,1472,157,18
21,1472,973,95
22,1472,168,92
23,1472,95,95
24,256,220,16
25,1472,31,17
26,1472,4,92
27,256,15,92
28,1472,109,16
29,1472,274,92
30,1472,1020,94
31,1472,96,17
32,1472,26,19
33,256,183,92
34,256,239,17
35,256,105,93
36,1472,216,18
37,1472,6,16
38,1472,206,19
39,256,255,19
40,1472,98,94
41,1472,6,92
42,256,270,94
43,256,250,16
44,1472,293,92
45,256,265,17
46,256,112,94
47,1472,95,17
48,256,561,17
49,256,55,94
50,256,690,16
51,1472,291,18
52,1472,219,94
53,256,65,17
54,256,844,19
55,1472,251,19
56,1472,1014,16
57,256,94,19
58,256,194,17
59,1472,124,17
60,256,67,19
61,256,49,95
62,256,162,18
63,1472,106,95
0,1472,179,110
1,256,171,111
2,1472,245,110
3,256,189,185
4,1472,132,109
5,1472,247,186
6,256,14,34
7,256,212,111
8,256,283,185
9,1472,143,185
10,1472,62,35
11,256,299,33
12,1472,185,110
13,256,71,34
14,1472,7,109
15,256,209,110
16,1472,287,35
17,256,30,33
18,256,117,111
19,1472,232,110
20,1472,182,110
21,256,2,187
22,1472,108,184
23,1472,204,187
24,256,179,32
25,256,103,109
26,1472,34,184
27,256,118,108
28,256,24,108
29,256,239,184
30,256,128,186
31,256,47,109
32,1472,130,111
33,1472,104,108
34,1472,137,33
35,256,106,109
36,1472,250,110
37,256,132,108
38,1472,173,111
39,1472,834,35
40,1472,116,186
41,1472,64,184
42,256,180,110
43,256,213,32
44,256,65,184
45,1472,49,33
46,1472,231,110
47,256,165,109
48,256,158,33
49,1472,259,110
50,1472,201,32
51,1472,170,110
52,1472,306,186
53,1472,122,33
54,256,281,35
55,256,143,111
56,256,297,108
57,1472,299,35
58,1472,264,33
59,1472,244,109
60,256,139,35
61,1472,14,111
62,256,51,34
63,256,66,187
0,256,236,202
1,1472,129,127
2,1472,147,202
3,1472,142,201
4,256,5,201
5,1472,37,278
6,1472,236,50
7,256,156,127
8,1472,26,201
9,256,194,277
10,256,298,127
11,256,162,49
12,1472,159,202
13,256,154,50
14,256,47,201
15,256,85,126
16,256,230,127
17,1472,151,49
18,256,262,127
19,1472,210,202
20,1472,267,202
21,256,240,203
22,256,156,276
23,1472,61,279
24,1472,143,48
25,256,201,125
26,256,168,276
27,1472,287,124
28,256,96,124
29,256,177,200
30,256,228,202
31,1472,170,125
32,1472,243,203
33,1472,159,200
34,1472,125,125
35,256,35,125
36,1472,281,202
37,1472,39,124
38,256,230,203
39,256,269,127
40,1472,22,278
41,1472,267,276
42,256,455,126
43,256,75,48
44,1472,257,200
45,1472,133,125
46,256,639,202
47,256,802,125
48,1472,48,49
49,256,308,202
50,256,161,124
51,256,218,202
52,256,176,278
53,256,102,125
54,1472,13,51
55,1472,178,127
56,1472,17,124
57,1472,473,127
58,1472,225,125
59,1472,96,201
60,1472,7,51
61,1472,140,203
62,256,903,50
63,256,119,203
0,1472,14,218
1,1472,256,219
2,1472,268,294
3,1472,129,293
4,256,44,217
5,1472,51,370
6,1472,287,142
7,256,168,143
8,256,12,293
9,1472,140,293
10,256,233,143
11,1472,172,65
12,1472,252,294
13,256,302,66
14,256,174,217
15,1472,5,142
16,1472,16,143
17,256,2,141
18,1472,13,143
19,1472,61,294
20,1472,233,294
21,1472,45,219
22,1472,198,292
23,256,128,371
24,256,145,140
25,1472,39,141
26,256,33,292
27,256,189,216
28,1472,209,140
29,1472,275,216
30,256,193,218
31,1472,235,217
32,256,260,295
33,1472,27,292
34,256,223,217
35,1472,269,141
36,256,42,294
37,256,29,216
38,256,113,219
39,256,302,143
40,1472,302,370
41,1472,188,368
42,256,69,142
43,256,190,64
44,1472,156,292
45,256,10,217
46,1472,215,218
47,256,135,141
48,256,217,141
49,1472,359,218
50,1472,228,140
51,1472,116,218
52,1472,81,294
53,256,163,141
54,256,122,143
55,1472,229,219
56,256,650,216
57,256,122,219
58,1472,36,217
59,256,275,293
60,256,30,143
61,256,301,295
62,1472,256,66
63,1472,475,219
0,256,1017,310
1,1472,219,311
2,1472,260,386
3,1472,286,385
4,256,279,233
5,1472,291,462
6,256,51,234
7,1472,15,159
8,256,82,309
9,256,111,385
10,1472,117,159
11,256,51,157
12,1472,50,386
13,1472,163,82
14,1472,915,233
15,1472,247,234
16,256,170,235
17,256,56,157
18,1472,103,235
19,256,752,386
20,256,194,386
21,256,169,311
22,1472,220,384
23,256,626,387
24,256,259,156
25,1472,89,233
26,1472,133,308
27,1472,174,232
28,256,262,232
29,1472,152,308
30,1472,308,234
31,1472,176,309
32,1472,243,311
33,1472,273,384
34,256,274,233
35,256,166,233
36,256,243,310
37,1472,95,232
38,256,138,235
39,256,374,159
40,1472,87,462
41,1472,190,460
42,1472,20,158
43,1472,216,80
44,256,36,384
45,1472,204,233
46,256,238,310
47,1472,36,157
48,256,165,157
49,256,281,310
50,256,226,232
51,1472,305,310
52,1472,251,386
53,256,186,157
54,256,258,159
55,256,235,311
56,256,282,232
57,1472,104,235
58,1472,122,309
59,256,94,309
60,1472,245,159
61,256,299,311
62,1472,50,158
63,256,803,311
0,1472,244,326
1,256,143,403
2,1472,116,478
3,1472,298,477
4,256,81,249
5,1472,287,554
6,1472,14,250
7,256,259,251
8,1472,234,325
9,1472,218,401
10,256,101,251
11,256,292,173
12,256,63,478
13,256,58,174
14,256,151,325
15,1472,135,326
16,1472,123,251
17,1472,80,173
18,256,175,327
19,256,10,402
