port,pkt_size,flowid,time
0,256,286,5
1,1472,436,5
2,1472,310,6
3,1472,994,0
4,256,214,2
5,1472,249,5
6,256,153,1
7,1472,279,5
8,256,284,7
9,1472,1014,4
10,256,147,2
11,1472,377,0
12,256,393,6
13,1472,306,4
14,256,990,0
15,1472,7,1
16,1472,855,0
17,256,377,0
18,1472,565,0
19,256,236,4
20,1472,870,6
21,1472,613,3
22,1472,85,6
23,256,846,3
24,256,873,6
25,256,273,7
26,1472,360,1
27,256,211,3
28,1472,846,0
29,1472,834,1
30,256,121,1
31,256,1019,1
32,1472,38,2
33,1472,476,2
34,1472,154,2
35,256,966,5
36,256,335,5
37,256,378,1
38,256,437,1
39,1472,771,3
40,256,233,7
41,256,672,6
42,1472,487,1
43,1472,879,7
44,1472,46,3
45,1472,822,4
46,1472,277,7
47,256,522,3
48,256,614,6
49,256,197,2
50,256,208,1
51,1472,314,1
52,256,375,3
53,256,399,3
54,256,978,1
55,256,715,0
56,1472,222,3
57,256,91,7
58,1472,483,2
59,1472,842,7
60,256,994,1
61,256,186,4
62,256,559,6
63,1472,663,1
0,256,915,37
1,1472,126,189
2,1472,847,190
3,256,448,184
4,1472,685,34
5,1472,995,189
6,256,784,33
7,1472,457,189
8,256,440,39
9,256,947,188
10,256,873,34
11,256,920,184
12,1472,47,38
13,256,504,188
14,1472,832,32
15,1472,83,185
16,1472,58,184
17,1472,1019,32
18,256,442,184
19,1472,168,36
20,1472,980,190
21,1472,838,187
22,256,409,190
23,1472,548,35
24,1472,123,38
25,1472,323,39
26,1472,1020,185
27,256,295,35
28,1472,468,184
29,256,837,185
30,1472,85,33
31,256,426,33
32,256,546,186
33,1472,362,186
34,256,940,186
35,1472,999,37
36,1472,793,37
37,256,162,33
38,256,770,33
39,1472,344,187
40,256,733,39
41,1472,158,38
42,1472,503,185
43,256,988,191
44,1472,724,187
45,1472,419,188
46,256,993,191
47,1472,187,35
48,256,809,38
49,1472,135,34
50,256,721,33
51,1472,530,185
52,1472,43,35
53,256,644,35
54,256,573,33
55,1472,604,32
56,1472,817,187
57,1472,535,39
58,256,937,186
59,1472,992,191
60,256,770,33
61,1472,962,36
62,256,828,38
63,1472,197,185
0,256,291,69
1,1472,194,373
2,1472,260,374
3,256,9,216
4,256,92,218
5,256,543,373
6,1472,628,65
7,1472,79,373
8,1472,733,71
9,256,925,220
10,256,795,66
11,256,679,216
12,1472,654,222
13,256,50,220
14,1472,1015,216
15,1472,801,369
16,256,892,368
17,256,481,216
18,256,759,216
19,1472,886,220
20,256,974,374
21,1472,17,371
22,1472,267,222
23,1472,895,219
24,1472,520,222
25,256,329,223
26,1472,715,369
27,256,707,67
28,256,476,368
29,256,220,217
30,1472,283,217
31,1472,237,65
32,1472,637,218
33,256,469,370
34,1472,880,218
35,1472,514,221
36,256,551,221
37,1472,75,65
38,1472,32,65
39,256,505,371
40,256,156,71
41,1472,535,222
42,1472,675,369
43,1472,460,223
44,1472,69,371
45,1472,673,372
46,256,586,223
47,1472,864,219
48,256,575,70
49,256,1006,218
50,256,662,65
51,1472,5,369
52,1472,714,219
53,1472,134,67
54,256,787,65
55,256,764,216
56,1472,233,371
57,1472,346,223
58,1472,311,218
59,1472,184,375
60,1472,552,65
61,1472,407,220
62,256,576,70
63,1472,187,369
0,1472,8,101
1,256,896,557
2,256,751,558
3,1472,877,248
4,1472,432,250
5,1472,660,405
6,256,839,249
7,256,830,557
8,1472,129,255
9,256,899,252
10,256,410,98
11,1472,559,248
12,1472,371,406
13,1472,408,252
14,1472,982,400
15,256,1017,553
16,256,532,400
17,1472,111,248
18,1472,234,248
19,1472,963,404
20,256,467,406
21,256,70,555
22,1472,620,406
23,256,111,403
24,256,173,406
25,256,889,255
26,1472,521,553
27,256,542,99
28,256,261,400
29,256,99,249
30,1472,184,401
31,1472,640,249
32,256,790,402
33,256,216,402
34,256,356,402
35,1472,21,405
36,1472,422,253
37,1472,129,249
38,1472,923,249
39,256,754,403
40,256,608,103
41,1472,617,406
42,1472,706,553
43,256,841,407
44,1472,1,555
45,1472,141,556
46,256,810,255
47,256,389,403
48,256,200,102
49,256,783,250
50,256,814,97
51,256,634,553
52,1472,846,403
53,1472,444,251
54,1472,100,97
55,256,59,248
56,256,665,555
57,256,993,407
58,256,668,402
59,256,483,559
60,1472,495,249
61,256,373,404
62,256,228,102
63,256,870,553
0,1472,30,285
1,1472,565,589
2,256,466,590
3,1472,281,432
4,256,730,434
5,256,828,589
6,256,276,281
7,256,188,589
8,1472,407,439
9,256,558,284
10,256,808,130
11,1472,793,432
12,256,258,590
13,256,885,436
14,256,766,584
15,1472,571,585
16,256,493,432
17,256,746,432
18,256,314,432
19,256,772,588
20,1472,547,438
21,1472,284,587
22,1472,940,590
23,1472,638,435
24,256,229,438
25,1472,79,287
26,256,218,737
27,1472,321,131
28,256,698,432
29,256,450,281
30,256,224,585
31,256,704,433
32,1472,136,434
33,1472,906,434
34,256,796,434
35,1472,421,589
36,1472,681,437
37,256,584,433
38,1472,811,433
39,1472,152,435
40,1472,607,135
41,1472,402,590
42,1472,186,737
43,256,568,439
44,1472,938,739
45,1472,785,740
46,1472,106,287
47,256,605,435
48,256,170,134
49,1472,917,282
50,256,675,129
51,256,560,585
52,256,289,587
53,256,1019,435
54,256,570,281
55,256,218,280
56,1472,214,587
57,256,295,439
58,1472,934,434
59,256,62,591
60,1472,452,433
61,256,319,436
62,1472,377,134
63,256,183,585
0,1472,807,469
1,256,581,773
2,256,838,622
3,256,776,616
4,256,932,466
5,1472,138,621
6,1472,996,313
7,1472,984,621
8,256,54,623
9,256,565,316
10,1472,961,162
11,1472,629,616
12,1472,492,622
13,1472,561,468
14,1472,811,616
15,1472,861,769
16,1472,566,464
17,256,615,464
18,256,603,464
19,1472,363,620
20,1472,326,622
21,256,772,771
22,256,738,774
23,1472,337,619
24,1472,174,470
25,1472,687,471
26,1472,606,769
27,256,283,315
28,1472,624,464
29,1472,116,313
30,256,153,617
31,1472,59,465
32,1472,494,618
33,1472,342,618
34,256,804,466
35,256,464,773
36,256,674,621
37,1472,148,465
38,256,336,617
39,256,932,619
40,256,494,319
41,256,516,774
42,256,393,921
43,1472,765,471
44,1472,957,923
45,256,728,924
46,1472,373,471
47,1472,383,467
48,1472,810,166
49,256,315,466
50,1472,649,161
51,1472,481,617
52,256,849,619
53,1472,340,467
54,1472,951,313
55,1472,439,312
56,1472,211,771
57,256,887,471
58,1472,81,618
59,256,146,623
60,1472,40,617
61,1472,1002,468
62,256,425,318
63,256,385,617
0,256,829,653
1,256,608,805
2,256,670,654
3,256,993,648
4,256,16,498
5,1472,360,805
6,1472,1021,497
7,1472,318,805
8,256,810,655
9,1472,856,348
10,256,220,346
11,256,504,800
12,256,35,806
13,1472,875,652
14,1472,594,800
15,1472,471,953
16,1472,824,648
17,1472,524,496
18,1472,642,496
19,1472,996,804
20,1472,858,806
21,256,350,803
22,256,469,806
23,256,819,803
24,256,337,654
25,1472,280,655
26,256,221,953
27,256,479,347
28,1472,707,648
29,256,318,497
30,1472,885,649
31,256,771,649
32,1472,552,802
33,1472,699,802
34,256,237,498
35,1472,95,805
36,1472,975,653
37,1472,843,649
38,1472,574,649
39,256,948,651
40,256,93,351
41,256,639,806
42,1472,337,953
43,1472,629,655
44,1472,977,1107
45,256,276,956
46,256,903,655
47,256,997,651
48,1472,298,350
49,256,390,498
50,256,248,345
51,1472,130,801
52,256,486,651
53,256,372,651
54,1472,398,497
55,1472,540,496
56,256,429,955
57,1472,931,503
58,1472,789,802
59,1472,262,655
60,1472,561,801
61,1472,981,652
62,1472,137,350
63,1472,679,649
0,1472,743,685
1,256,393,837
2,256,174,686
3,256,718,680
4,1472,24,530
5,1472,688,989
6,1472,856,681
7,256,138,989
8,256,209,687
9,256,534,532
10,256,61,378
11,1472,648,832
12,1472,867,838
13,256,862,836
14,1472,598,984
15,1472,430,1137
16,256,441,832
17,256,390,680
18,1472,741,680
19,256,337,988
20,1472,972,990
21,256,48,835
22,256,786,838
23,256,631,835
24,256,958,686
25,256,562,839
26,1472,228,985
27,256,251,379
28,1472,338,832
29,1472,234,529
30,256,508,833
31,1472,166,681
32,1472,1001,986
33,1472,493,986
34,256,360,530
35,1472,175,989
36,256,811,837
37,256,591,833
38,256,218,833
39,256,177,683
40,1472,957,383
41,1472,795,838
42,256,205,1137
43,256,7,839
44,1472,661,1291
45,256,38,988
46,256,338,687
47,256,574,683
48,256,670,534
49,1472,333,530
50,256,289,377
51,256,623,985
52,1472,1000,683
53,1472,383,683
54,1472,973,681
55,256,673,680
56,256,70,987
57,1472,690,687
58,1472,392,986
59,256,914,839
60,256,173,985
61,1472,654,836
62,256,492,534
63,1472,226,833
0,256,696,869
1,256,768,869
2,256,261,718
3,1472,536,712
4,1472,74,714
5,1472,346,1173
6,256,100,865
7,256,358,1021
8,1472,1017,719
9,256,508,564
10,1472,602,410
11,256,858,1016
12,256,186,1022
13,256,134,868
14,256,102,1168
15,1472,191,1321
16,1472,982,864
17,256,513,712
18,1472,301,864
19,1472,238,1020
20,1472,621,1174
21,1472,300,867
22,1472,368,870
23,256,32,867
24,1472,334,718
25,1472,203,871
26,256,914,1169
27,256,693,411
28,1472,888,1016
29,1472,144,713
30,256,476,865
31,256,661,865
32,256,737,1170
33,1472,849,1170
34,1472,770,562
35,1472,815,1173
36,256,381,869
37,256,940,865
38,256,652,865
39,256,633,715
40,256,111,567
41,256,143,1022
42,256,157,1169
43,1472,652,871
44,256,882,1475
45,1472,440,1020
46,256,210,719
47,256,192,715
48,256,713,566
49,256,188,714
50,256,985,409
51,256,814,1017
52,1472,103,867
53,256,218,867
54,1472,892,865
55,256,499,712
56,256,948,1019
57,1472,816,871
58,256,991,1170
59,1472,483,871
60,256,158,1017
61,256,272,1020
62,256,837,566
63,1472,756,1017
0,256,281,901
1,1472,962,901
2,1472,770,750
3,1472,572,896
4,256,421,898
5,256,673,1357
6,256,768,897
7,256,597,1053
8,256,545,903
9,256,697,596
10,256,449,594
11,256,18,1048
12,1472,971,1054
13,256,82,900
14,1472,403,1200
15,1472,593,1505
16,1472,802,1048
17,1472,135,744
18,1472,1017,1048
19,256,436,1204
20,256,218,1358
21,1472,624,1051
22,1472,244,1054
23,1472,34,899
24,256,170,902
25,256,288,1055
26,1472,844,1201
27,1472,292,443
28,1472,11,1200
29,1472,234,897
30,256,203,897
31,256,60,897
32,256,730,1202
33,1472,160,1354
34,1472,615,746
35,256,919,1357
36,1472,521,901
37,1472,975,897
38,256,16,897
39,256,460,747
40,256,721,599
