port,pkt_size,flowid,time
0,64,4143,0
1,64,4414,7
2,64,4626,3
3,64,980,3
4,64,4827,11
5,64,6430,11
6,64,2241,14
7,64,4907,1
8,64,3401,0
9,64,748,5
10,64,2889,3
11,64,5485,3
12,64,476,15
13,64,5527,14
14,64,1970,15
15,64,5272,8
16,64,5005,15
17,64,1711,5
18,64,2804,10
19,64,996,11
20,64,505,7
21,64,3654,1
22,64,895,9
23,64,5871,10
24,64,3973,6
25,64,1998,6
26,64,3586,14
27,64,1784,6
28,64,5505,1
29,64,2719,4
30,64,1240,0
31,64,633,0
32,64,99,8
33,64,6277,9
34,64,1007,5
35,64,1832,15
36,64,5565,10
37,64,1610,2
38,64,2763,5
39,64,3832,2
40,64,6236,1
41,64,3884,11
42,64,3253,9
43,64,1598,0
44,64,1335,13
45,64,877,12
46,64,3615,14
47,64,2174,5
48,64,2774,8
49,64,2917,13
50,64,2654,10
51,64,263,5
52,64,5203,15
53,64,1332,0
54,64,4009,2
55,64,3184,0
56,64,5820,4
57,64,874,11
58,64,1191,5
59,64,2691,6
60,64,2891,15
61,64,2949,8
62,64,603,5
63,64,1069,1
0,64,1229,16
1,64,3620,23
2,64,334,19
3,64,3204,19
4,64,4018,27
5,64,2487,27
6,64,520,30
7,64,69,17
8,64,2202,16
9,64,79,21
10,64,4110,19
11,64,3460,19
12,64,2394,31
13,64,5064,30
14,64,1425,31
15,64,4317,24
16,64,1573,31
17,64,5714,21
18,64,5711,26
19,64,1578,27
20,64,717,23
21,64,9,17
22,64,5731,25
23,64,324,26
24,64,6100,22
25,64,4569,22
26,64,3960,30
27,64,1024,22
28,64,866,17
29,64,5703,20
30,64,926,16
31,64,2938,16
32,64,155,24
33,64,5741,25
34,64,4587,21
35,64,3736,31
36,64,1168,26
37,64,991,18
38,64,2911,21
39,64,3741,18
40,64,4159,17
41,64,4087,27
42,64,1894,25
43,64,478,16
44,64,698,29
45,64,5308,28
46,64,1612,30
47,64,2139,21
48,64,3148,24
49,64,4524,29
50,64,812,26
51,64,4952,21
52,64,936,31
53,64,1334,16
54,64,959,18
55,64,3233,16
56,64,5370,20
57,64,5680,27
58,64,4548,21
59,64,5925,22
60,64,5022,31
61,64,2052,24
62,64,1223,21
63,64,5936,17
0,64,2526,32
