port,pkt_size,flowid,time
0,64,408,2
1,64,323,3
2,64,245,11
3,64,237,8
4,64,449,13
5,64,113,9
6,64,64,10
7,64,311,10
8,64,202,12
9,64,307,3
10,64,38,12
11,64,460,13
12,64,133,6
13,64,140,5
14,64,372,10
15,64,46,1
16,64,1509,1
17,64,205,10
18,64,188,8
19,64,2,11
20,64,204,12
21,64,46,7
22,64,238,10
23,64,416,3
24,64,343,3
25,64,451,4
26,64,797,7
27,64,75,8
28,64,290,1
29,64,432,9
30,64,156,9
31,64,114,4
32,64,324,4
33,64,1075,9
34,64,227,7
35,64,478,2
36,64,146,8
37,64,184,12
38,64,441,12
39,64,14,2
40,64,270,14
41,64,20,11
42,64,108,1
43,64,282,14
44,64,146,7
45,64,159,10
46,64,134,5
47,64,538,2
48,64,210,7
49,64,382,12
50,64,79,2
51,64,228,10
52,64,448,3
53,64,347,1
54,64,300,3
55,64,53,5
56,64,78,6
57,64,464,6
58,64,22,10
59,64,368,7
60,64,464,2
61,64,207,4
62,64,857,9
63,64,125,2
0,64,442,18
1,64,102,19
2,64,61,27
3,64,435,24
4,64,909,29
5,64,246,25
6,64,246,26
7,64,209,26
8,64,312,28
9,64,113,19
10,64,300,28
11,64,290,29
12,64,165,22
13,64,207,21
14,64,227,26
15,64,107,17
16,64,336,17
17,64,127,26
18,64,79,24
19,64,356,27
20,64,187,28
21,64,307,23
22,64,64,26
23,64,274,19
24,64,427,19
25,64,42,20
26,64,441,23
27,64,93,24
28,64,142,17
29,64,281,25
30,64,172,25
31,64,60,20
32,64,27,20
33,64,822,25
34,64,390,23
35,64,4,18
36,64,404,24
37,64,256,28
38,64,384,28
39,64,286,18
40,64,237,30
41,64,411,27
42,64,157,17
43,64,137,30
44,64,58,23
45,64,48,26
46,64,323,21
47,64,453,18
48,64,198,23
49,64,215,28
50,64,61,18
51,64,330,26
52,64,198,19
53,64,273,17
54,64,141,19
55,64,259,21
56,64,363,22
57,64,314,22
58,64,398,26
59,64,82,23
60,64,224,18
61,64,311,20
62,64,207,25
63,64,50,18
0,64,443,34
1,64,59,35
2,64,469,43
3,64,73,40
4,64,318,45
5,64,215,41
6,64,42,42
7,64,299,42
8,64,313,44
9,64,213,35
10,64,391,44
11,64,768,45
12,64,207,38
13,64,201,37
14,64,407,42
15,64,323,33
16,64,456,33
17,64,1440,42
18,64,42,40
19,64,288,43
20,64,113,44
21,64,181,39
22,64,38,42
23,64,223,35
24,64,260,35
25,64,304,36
26,64,405,39
27,64,70,40
28,64,993,33
29,64,418,41
30,64,194,41
31,64,185,36
32,64,209,36
33,64,90,41
34,64,111,39
35,64,411,34
36,64,209,40
37,64,396,44
38,64,399,44
39,64,104,34
40,64,327,46
41,64,372,43
42,64,181,33
43,64,283,46
44,64,187,39
45,64,430,42
46,64,312,37
47,64,447,34
48,64,236,39
49,64,483,44
50,64,145,34
51,64,107,42
52,64,452,35
53,64,320,33
54,64,455,35
55,64,190,37
56,64,70,38
57,64,115,38
58,64,43,42
59,64,458,39
60,64,456,34
61,64,292,36
62,64,445,41
63,64,262,34
0,64,26,50
1,64,201,51
2,64,6,59
3,64,183,56
4,64,104,61
5,64,131,57
6,64,485,58
7,64,955,58
8,64,145,60
9,64,414,51
10,64,377,60
11,64,398,61
12,64,318,54
13,64,412,53
14,64,417,58
15,64,341,49
16,64,1499,49
17,64,134,58
18,64,226,56
19,64,339,59
20,64,229,60
21,64,460,55
22,64,254,58
23,64,85,51
24,64,50,51
25,64,152,52
26,64,49,55
27,64,921,56
28,64,397,49
29,64,118,57
30,64,393,57
31,64,41,52
32,64,373,52
33,64,1306,57
34,64,16,55
35,64,765,50
36,64,185,56
37,64,483,60
38,64,348,60
39,64,414,50
40,64,245,62
41,64,57,59
42,64,456,49
43,64,425,62
44,64,157,55
45,64,459,58
46,64,73,53
47,64,396,50
48,64,161,55
49,64,470,60
50,64,206,50
51,64,251,58
52,64,481,51
53,64,59,49
54,64,1173,51
55,64,103,53
56,64,155,54
57,64,271,54
58,64,390,58
59,64,18,55
60,64,395,50
61,64,336,52
62,64,198,57
63,64,385,50
0,64,94,66
1,64,409,67
2,64,174,75
3,64,424,72
4,64,30,77
5,64,445,73
6,64,144,74
7,64,436,74
8,64,354,76
9,64,317,67
10,64,416,76
11,64,142,77
12,64,374,70
13,64,228,69
14,64,489,74
15,64,251,65
16,64,45,65
17,64,443,74
18,64,346,72
19,64,322,75
20,64,346,76
21,64,173,71
22,64,228,74
23,64,88,67
24,64,104,67
25,64,442,68
26,64,474,71
27,64,385,72
28,64,152,65
29,64,362,73
30,64,74,73
31,64,252,68
32,64,393,68
33,64,146,73
34,64,273,71
35,64,111,66
36,64,286,72
37,64,476,76
38,64,271,76
39,64,207,66
40,64,377,78
41,64,228,75
42,64,402,65
43,64,53,78
44,64,359,71
45,64,364,74
46,64,476,69
47,64,467,66
48,64,217,71
49,64,476,76
50,64,158,66
51,64,523,74
52,64,71,67
53,64,1030,65
54,64,326,67
55,64,66,69
56,64,191,70
57,64,138,70
58,64,74,74
59,64,293,71
60,64,287,66
61,64,443,68
62,64,133,73
63,64,335,66
0,64,331,82
1,64,125,83
2,64,207,91
3,64,66,88
4,64,212,93
5,64,94,89
6,64,394,90
7,64,48,90
8,64,91,92
9,64,371,83
10,64,220,92
11,64,297,93
12,64,373,86
13,64,893,85
14,64,340,90
15,64,142,81
16,64,151,81
17,64,460,90
18,64,96,88
19,64,242,91
20,64,284,92
21,64,447,87
22,64,6,90
23,64,1393,83
24,64,110,83
25,64,289,84
26,64,443,87
27,64,146,88
28,64,109,81
29,64,484,89
30,64,444,89
31,64,123,84
32,64,179,84
33,64,458,89
34,64,212,87
35,64,36,82
36,64,421,88
37,64,307,92
38,64,421,92
39,64,134,82
40,64,271,94
41,64,429,91
42,64,277,81
43,64,141,94
44,64,437,87
45,64,11,90
46,64,5,85
47,64,405,82
48,64,253,87
49,64,169,92
50,64,329,82
51,64,438,90
52,64,61,83
53,64,812,81
54,64,398,83
55,64,484,85
56,64,273,86
57,64,189,86
58,64,37,90
59,64,76,87
60,64,104,82
61,64,1334,84
62,64,12,89
63,64,449,82
0,64,273,98
1,64,345,99
2,64,480,107
3,64,379,104
4,64,460,109
5,64,295,105
6,64,541,106
7,64,367,106
8,64,363,108
9,64,156,99
10,64,470,108
11,64,362,109
12,64,298,102
13,64,228,101
14,64,172,106
15,64,296,97
16,64,171,97
17,64,403,106
18,64,124,104
19,64,263,107
20,64,32,108
21,64,413,103
22,64,469,106
23,64,30,99
24,64,158,99
25,64,263,100
26,64,124,103
27,64,20,104
28,64,1517,97
29,64,137,105
30,64,296,105
31,64,116,100
32,64,463,100
33,64,200,105
