port,pkt_size,flowid,time
0,64,314,1
1,64,778,4
2,64,730,12
3,64,782,9
4,64,404,11
5,64,8,4
6,64,159,0
7,64,247,10
8,64,413,8
9,64,89,10
10,64,357,3
11,64,508,6
12,64,888,8
13,64,140,2
14,64,848,2
15,64,471,13
16,64,671,1
17,64,624,8
18,64,129,6
19,64,322,7
20,64,492,2
21,64,221,0
22,64,665,1
23,64,56,15
24,64,391,5
25,64,318,3
26,64,841,0
27,64,175,7
28,64,594,10
29,64,927,13
30,64,258,10
31,64,790,7
32,64,315,14
33,64,892,2
34,64,450,11
35,64,511,14
36,64,108,12
37,64,620,9
38,64,726,5
39,64,452,8
40,64,842,4
41,64,602,5
42,64,618,14
43,64,919,9
44,64,673,4
45,64,224,3
46,64,836,1
47,64,21,3
48,64,664,11
49,64,358,0
50,64,927,3
51,64,259,6
52,64,504,6
53,64,352,11
54,64,98,15
55,64,809,5
56,64,895,9
57,64,431,5
58,64,182,2
59,64,396,8
60,64,522,5
61,64,42,8
62,64,302,10
63,64,566,0
0,64,802,17
1,64,66,20
2,64,210,28
3,64,205,25
4,64,689,27
5,64,458,20
6,64,801,16
7,64,13,26
8,64,317,24
9,64,144,26
10,64,20,19
11,64,192,22
12,64,624,24
13,64,849,18
14,64,567,18
15,64,577,29
16,64,244,17
17,64,836,24
18,64,129,22
19,64,444,23
20,64,572,18
21,64,228,16
22,64,274,17
23,64,527,31
24,64,318,21
25,64,688,19
26,64,463,16
27,64,358,23
28,64,612,26
29,64,491,29
30,64,284,26
31,64,68,23
32,64,540,30
33,64,50,18
34,64,393,27
35,64,115,30
36,64,248,28
37,64,253,25
38,64,287,21
39,64,273,24
40,64,105,20
41,64,255,21
42,64,438,30
43,64,24,25
44,64,8,20
45,64,100,19
46,64,215,17
47,64,369,19
48,64,655,27
49,64,282,16
50,64,738,19
51,64,763,22
52,64,253,22
53,64,225,27
54,64,351,31
55,64,20,21
56,64,355,25
57,64,158,21
58,64,461,18
59,64,23,24
60,64,419,21
61,64,81,24
62,64,562,26
63,64,446,16
0,64,117,33
1,64,716,36
2,64,279,44
3,64,86,41
4,64,495,43
5,64,622,36
6,64,191,32
7,64,920,42
8,64,794,40
9,64,365,42
10,64,39,35
11,64,544,38
12,64,230,40
13,64,774,34
14,64,533,34
15,64,268,45
16,64,313,33
17,64,828,40
18,64,195,38
19,64,866,39
20,64,559,34
21,64,98,32
22,64,34,33
23,64,25,47
24,64,849,37
25,64,597,35
26,64,55,32
27,64,865,39
28,64,570,42
29,64,192,45
30,64,625,42
31,64,180,39
32,64,755,46
33,64,579,34
34,64,312,43
35,64,380,46
36,64,868,44
37,64,211,41
38,64,663,37
39,64,205,40
40,64,558,36
41,64,327,37
42,64,264,46
43,64,115,41
44,64,481,36
45,64,269,35
46,64,785,33
47,64,294,35
48,64,582,43
49,64,359,32
50,64,906,35
51,64,703,38
52,64,658,38
53,64,467,43
54,64,130,47
55,64,431,37
