port,pkt_size,flowid,time
0,64,17,0
1,64,77,13
2,64,83,12
3,64,12,6
4,64,477,1
5,64,108,7
6,64,84,15
7,64,98,0
8,64,65,10
9,64,136,3
10,64,92,10
11,64,87,6
12,64,137,3
13,64,119,10
14,64,46,1
15,64,328,5
16,64,36,15
17,64,80,7
18,64,152,15
19,64,35,8
20,64,101,15
21,64,8,4
22,64,62,14
23,64,73,15
24,64,60,7
25,64,71,10
26,64,151,10
27,64,40,2
28,64,118,7
29,64,120,6
30,64,12,0
31,64,52,11
32,64,80,7
33,64,68,11
34,64,19,14
35,64,87,7
36,64,135,1
37,64,108,13
38,64,91,10
39,64,73,14
40,64,81,6
41,64,97,3
42,64,50,5
43,64,116,14
44,64,150,10
45,64,50,1
46,64,8,0
47,64,135,0
48,64,136,6
49,64,98,2
50,64,106,12
51,64,145,10
52,64,52,1
53,64,89,11
54,64,76,7
55,64,27,7
56,64,276,13
57,64,128,8
58,64,151,11
59,64,10,13
60,64,73,3
61,64,146,9
62,64,120,0
63,64,35,13
0,64,19,16
1,64,68,29
2,64,6,28
3,64,41,22
4,64,67,17
5,64,152,23
6,64,90,31
7,64,76,16
8,64,139,26
9,64,106,19
10,64,52,26
11,64,91,22
12,64,28,19
13,64,26,26
14,64,99,17
15,64,48,21
16,64,149,31
17,64,9,23
18,64,145,31
19,64,135,24
20,64,144,31
21,64,145,20
22,64,74,30
23,64,35,31
24,64,92,23
25,64,65,26
26,64,72,26
27,64,136,18
28,64,80,23
29,64,41,22
30,64,84,16
31,64,143,27
32,64,93,23
33,64,86,27
34,64,18,30
35,64,110,23
36,64,106,17
37,64,150,29
38,64,95,26
39,64,111,30
40,64,126,22
41,64,102,19
42,64,23,21
43,64,103,30
44,64,383,26
45,64,4,17
46,64,101,16
47,64,21,16
48,64,118,22
49,64,78,18
50,64,429,28
51,64,147,26
52,64,44,17
53,64,70,27
54,64,34,23
55,64,61,23
56,64,71,29
57,64,52,24
58,64,33,27
59,64,48,29
60,64,50,19
61,64,48,25
62,64,61,16
63,64,142,29
0,64,43,32
1,64,53,45
2,64,89,44
3,64,122,38
4,64,15,33
5,64,13,39
6,64,119,47
7,64,66,32
8,64,48,42
9,64,107,35
10,64,449,42
11,64,6,38
12,64,126,35
13,64,126,42
14,64,143,33
15,64,53,37
16,64,29,47
17,64,472,39
18,64,30,47
19,64,21,40
20,64,105,47
21,64,114,36
22,64,113,46
23,64,46,47
24,64,13,39
25,64,16,42
26,64,344,42
27,64,65,34
28,64,494,39
29,64,4,38
30,64,194,32
31,64,26,43
32,64,46,39
33,64,29,43
34,64,121,46
35,64,120,39
36,64,127,33
37,64,364,45
38,64,154,42
39,64,132,46
40,64,154,38
41,64,36,35
42,64,142,37
43,64,88,46
44,64,91,42
45,64,16,33
46,64,96,32
47,64,91,32
48,64,123,38
49,64,38,34
50,64,50,44
51,64,32,42
52,64,14,33
53,64,88,43
54,64,144,39
55,64,125,39
56,64,82,45
57,64,21,40
58,64,54,43
59,64,89,45
60,64,49,35
61,64,122,41
62,64,84,32
63,64,130,45
0,64,78,48
1,64,106,61
2,64,55,60
3,64,85,54
4,64,1,49
5,64,36,55
6,64,105,63
7,64,453,48
8,64,32,58
9,64,12,51
10,64,84,58
11,64,7,54
12,64,154,51
13,64,9,58
14,64,128,49
15,64,109,53
16,64,9,63
17,64,149,55
18,64,40,63
19,64,142,56
20,64,75,63
21,64,86,52
22,64,405,62
23,64,132,63
24,64,27,55
25,64,90,58
26,64,57,58
27,64,151,50
28,64,42,55
29,64,67,54
30,64,121,48
31,64,85,59
32,64,137,55
