port,pkt_size,flowid,time
0,1472,1811,13
1,1472,1981,13
2,1472,1336,21
3,256,177,22
4,256,366,25
5,1472,859,7
6,1472,2187,28
7,1472,87,10
8,1472,2202,8
9,256,1761,6
10,1472,679,19
11,1472,1958,9
12,256,1687,7
13,1472,845,20
14,256,3921,13
15,256,815,23
16,1472,1390,15
17,256,2014,24
18,1472,2049,19
19,256,177,26
20,256,371,1
21,1472,1133,17
22,1472,272,20
23,1472,767,30
24,256,1079,21
25,1472,1514,29
26,256,2618,22
27,256,850,11
28,256,1373,23
29,1472,391,8
30,1472,2278,14
31,1472,2019,19
32,1472,368,15
33,1472,1949,21
34,256,1700,5
35,256,755,28
36,256,7663,17
37,256,1743,2
38,256,1804,31
39,1472,1184,2
40,256,1542,5
41,256,12,31
42,256,1242,5
43,256,1002,21
44,256,1670,9
45,1472,619,12
46,1472,1064,17
47,256,937,16
48,1472,742,26
49,1472,98,11
50,256,644,2
51,256,2041,13
52,1472,1547,26
53,1472,1197,20
54,1472,66,13
55,1472,171,6
56,1472,6257,16
57,256,41,15
58,1472,266,4
59,1472,34,0
60,1472,535,18
61,256,218,8
62,256,2313,27
63,256,1612,17
0,256,953,749
1,1472,803,749
2,1472,450,757
3,256,626,150
4,256,568,153
5,256,681,743
6,256,1100,764
7,256,1097,746
8,256,119,744
9,256,361,134
10,256,1780,755
11,256,1097,745
12,1472,1434,135
13,1472,1862,756
14,256,5182,141
15,256,1877,151
16,256,2078,751
17,1472,584,152
18,1472,508,755
19,256,2385,154
20,1472,1134,129
21,256,1912,753
22,256,1567,756
23,256,2023,766
24,1472,2076,149
25,256,1619,765
26,1472,1023,150
27,256,816,139
28,1472,1091,151
29,1472,2321,744
30,256,2231,750
31,256,949,755
32,1472,533,751
33,256,3610,757
34,1472,1419,133
35,256,967,156
36,256,1914,145
37,1472,1275,130
38,256,3365,159
39,256,1225,738
40,256,1150,133
41,1472,611,159
42,256,669,133
43,1472,1754,149
44,1472,3,137
45,256,1903,748
46,256,1097,753
47,256,110,144
48,256,979,762
49,256,1092,747
50,1472,683,130
51,256,1861,141
52,256,595,762
53,256,5078,756
54,1472,1168,749
55,256,2051,742
56,256,98,752
57,256,2260,143
58,256,2063,740
59,256,2151,736
60,256,674,754
61,256,935,136
62,1472,599,155
63,1472,1119,145
0,1472,1831,877
1,1472,1418,1485
2,256,2126,1493
3,1472,475,278
4,256,592,281
5,256,2089,871
6,256,574,892
7,1472,2222,874
8,256,154,872
9,256,847,262
10,256,39,883
11,256,4008,873
12,1472,243,871
13,256,956,1492
14,256,657,269
15,1472,2280,279
16,256,2199,879
17,1472,1407,888
18,256,5443,1491
19,1472,1044,282
20,256,1975,865
21,256,1108,881
22,1472,2371,884
23,256,196,894
24,256,72,885
25,1472,887,893
26,1472,840,886
27,256,2289,267
28,256,1518,887
29,1472,2237,1480
30,1472,2157,878
31,256,1309,883
32,256,556,1487
33,256,784,885
34,1472,2192,869
35,1472,599,284
36,1472,1972,273
37,1472,1995,866
38,1472,1441,287
39,256,382,866
40,256,1858,261
41,1472,2036,895
42,256,1024,261
43,256,1290,885
44,256,90,873
45,1472,916,876
46,1472,1766,881
47,256,743,272
48,256,253,890
49,256,2900,875
50,256,1994,866
51,256,358,269
52,256,1769,890
53,1472,473,884
54,256,2594,1485
55,256,1645,870
56,256,266,880
57,1472,1365,271
58,1472,1818,868
59,256,1001,864
60,256,1079,882
61,1472,594,264
62,1472,474,891
63,256,1140,881
0,1472,1815,1613
1,256,2091,2221
2,1472,323,1621
3,1472,227,1014
4,1472,125,409
5,256,502,999
6,256,1605,1020
7,256,1676,1610
8,1472,1142,1000
9,256,564,390
10,256,6,1011
11,256,1541,1001
12,1472,373,1607
13,256,307,1620
14,256,2211,397
15,1472,1502,1015
16,256,1375,1007
17,256,476,1624
18,1472,209,1619
19,1472,967,1018
20,1472,486,993
21,1472,5816,1009
22,256,451,1620
23,256,1340,1022
24,256,1892,1013
25,1472,1192,1629
26,256,1149,1622
27,256,2127,395
28,256,1873,1015
29,256,897,2216
30,256,382,1614
31,1472,450,1011
32,256,1377,1615
33,1472,1515,1013
34,256,2344,1605
35,1472,2342,1020
36,256,1544,1009
37,256,1779,1602
38,256,1400,1023
39,256,343,994
40,1472,1612,389
41,1472,2262,1631
42,1472,5487,389
43,1472,1217,1013
44,256,2169,1001
45,256,190,1612
46,1472,1747,1617
47,1472,1861,400
48,1472,352,1018
49,256,7350,1003
50,256,963,994
51,256,400,397
52,1472,1854,1018
53,256,1433,1620
54,256,2171,1613
55,256,375,998
56,256,362,1008
57,256,696,1007
58,1472,1988,1604
59,256,366,992
60,256,2078,1010
61,256,2061,1000
62,1472,1039,1627
63,256,1647,1009
0,256,1333,2349
1,256,1388,2349
2,1472,1801,2357
3,1472,503,1750
4,256,1172,1145
5,256,31,1127
6,1472,1709,1148
7,1472,505,1738
8,1472,591,1736
9,1472,539,518
10,1472,905,1139
11,1472,1215,1129
12,1472,1381,2343
13,256,2201,1748
14,1472,1003,525
15,1472,2262,1751
16,256,1877,1135
17,1472,2117,1752
18,256,209,2355
19,256,6090,1754
20,1472,887,1729
21,256,1572,1745
22,256,1360,1748
23,256,2112,1150
24,256,1213,1141
25,256,239,2365
26,256,1166,1750
27,1472,2035,523
28,1472,271,1143
29,1472,1083,2344
30,1472,1435,1742
31,1472,1687,1747
32,1472,244,1743
33,1472,1367,1749
34,256,4520,1733
35,1472,1497,1756
36,1472,1679,1137
37,256,1447,1730
38,1472,1196,1151
39,1472,964,1122
40,1472,513,1125
41,1472,711,2367
42,256,167,1125
43,256,1050,1749
44,1472,2232,1129
45,1472,546,1740
46,256,48,2353
47,256,129,1136
48,256,2210,1754
49,1472,408,1131
50,256,280,1122
51,1472,2165,525
52,1472,1897,1754
53,256,1611,1748
54,256,2208,1741
55,256,1618,1126
56,256,1191,1136
57,256,862,1135
58,1472,1133,2340
59,256,1228,1120
60,1472,357,1138
61,1472,1084,1128
62,256,1100,2363
63,256,664,1137
0,256,2003,2477
1,256,516,2477
2,1472,734,3093
3,1472,1747,2486
4,1472,354,1273
5,256,50,1255
6,256,213,1884
7,1472,1950,2474
8,256,2036,2472
9,256,377,1254
10,256,1109,1875
11,256,600,1865
12,1472,1927,3079
13,1472,1476,1876
14,256,2304,1261
15,256,1097,2487
16,256,1883,1263
17,1472,1365,2488
18,256,577,2483
19,1472,912,1882
20,256,349,2465
21,256,1758,1873
22,1472,1284,1876
23,1472,58,1278
24,256,2359,1269
25,1472,208,2493
26,256,1075,1878
27,256,681,1259
28,256,1201,1879
29,256,677,3080
30,1472,605,2478
31,1472,1563,2483
32,1472,1040,2479
33,1472,2228,2485
34,1472,1635,1861
35,256,769,2492
36,256,1338,1873
37,256,793,1858
38,256,7624,1887
39,256,708,1858
40,256,148,1861
41,1472,2365,3103
42,256,226,1253
43,256,1968,1877
44,1472,1134,1865
45,1472,1089,2476
46,1472,1251,2481
47,1472,210,1264
48,256,423,1882
49,1472,1785,1867
50,1472,1550,1250
51,256,386,1261
52,1472,524,2490
53,1472,1565,1876
54,256,1216,1869
55,1472,412,1254
56,256,1612,1264
57,256,2294,1263
58,1472,2296,3076
59,256,906,1248
60,1472,2178,1874
61,1472,1958,1864
62,1472,155,2491
63,1472,75,1265
0,256,2085,2605
1,256,1141,2605
2,256,801,3829
3,1472,854,3222
4,1472,924,2009
5,256,1922,1383
6,1472,374,2012
7,1472,164,3210
8,256,159,2600
9,256,15,1382
10,256,758,2003
11,1472,2171,1993
12,1472,1775,3815
13,1472,656,2612
14,1472,580,1389
15,256,135,2615
16,1472,56,1391
17,1472,1829,3224
18,256,1409,2611
19,1472,1284,2618
20,1472,66,2593
21,256,1426,2001
22,256,1330,2612
23,256,2154,2014
24,256,996,1397
25,1472,1037,3229
26,256,1415,2006
27,1472,4089,1387
28,1472,833,2007
29,256,116,3208
30,1472,483,3214
31,256,2213,3219
32,1472,1849,3215
33,256,998,3221
34,1472,429,2597
35,256,1024,2620
36,1472,1703,2001
37,1472,1677,1986
38,256,797,2015
39,1472,1724,1986
40,256,443,1989
41,1472,799,3839
42,1472,1029,1381
43,256,306,2005
44,256,2125,2601
45,256,1067,3212
46,1472,235,3217
47,256,54,2000
48,1472,1956,2010
49,1472,1684,2603
50,1472,553,1986
51,1472,1790,1389
52,256,331,3226
53,1472,7458,2612
54,1472,1812,1997
55,256,1186,1990
56,256,1702,1392
57,256,1640,1391
58,256,3500,3812
59,1472,5847,1376
60,1472,201,2610
61,1472,849,2600
62,1472,1538,3227
63,256,2274,2001
0,1472,658,2733
1,256,1593,2733
2,256,744,3957
3,256,1794,3958
4,1472,2016,2745
5,256,178,1511
6,256,7194,2748
7,256,1765,3946
8,256,931,2728
9,256,1246,1510
10,256,2286,2131
11,256,951,2729
12,256,536,4551
13,1472,2219,3348
14,1472,2228,2125
15,1472,1917,2743
16,256,962,2127
17,1472,2076,3960
18,1472,516,2739
19,256,1555,3354
20,256,1206,3329
21,256,1635,2129
22,1472,1718,2740
23,256,947,2142
24,1472,1864,1525
25,256,197,3965
26,1472,1347,2134
27,256,1437,2123
28,1472,771,2743
29,256,831,3336
30,1472,1970,3950
31,1472,1080,3347
32,256,2195,3951
33,1472,5493,3349
34,256,1721,3333
35,256,269,2748
36,256,1216,2737
37,256,3048,2722
38,256,1939,2143
39,256,499,2722
40,1472,832,2117
41,256,1745,4575
42,256,498,2117
43,256,756,2133
44,256,1306,2729
45,1472,2366,3340
46,1472,580,3953
47,256,2274,2128
48,1472,402,2746
49,256,525,3339
50,256,1521,2722
51,256,7237,2125
52,1472,76,3354
53,256,1631,3348
54,256,2167,2733
55,1472,2038,2118
56,1472,1236,1520
57,256,1292,1519
58,256,2138,3940
59,256,2218,2112
60,1472,8,3346
61,256,1451,3336
62,256,1993,3963
63,1472,152,2129
0,1472,47,3469
1,256,251,2861
2,1472,1544,4085
3,256,545,4086
4,256,340,3481
5,1472,625,1639
6,256,1215,2876
7,256,1165,4074
8,1472,1677,2856
9,1472,272,1638
10,256,2138,2259
11,256,1553,2857
12,1472,2212,4679
13,1472,1871,4084
14,1472,492,2861
15,256,1930,3479
16,256,2291,2255
17,256,878,4696
18,256,1981,3475
19,256,628,3482
20,1472,1692,3457
21,256,625,2257
22,256,1856,3476
23,1472,393,2270
24,256,1805,2261
25,1472,2262,4093
26,256,832,2870
27,256,822,2251
28,256,6703,3479
29,1472,2231,3464
30,1472,2331,4686
31,1472,658,4083
32,256,1516,4079
33,1472,654,4085
34,256,873,3461
35,1472,1573,2876
36,256,1377,2865
37,256,421,2850
38,1472,8,2271
39,1472,594,2850
40,1472,651,2853
41,1472,1612,4703
42,256,1995,2245
43,1472,1443,2261
44,1472,2177,2857
45,256,1533,4076
46,256,1188,4689
47,256,941,2256
48,1472,1693,3482
49,1472,198,3467
50,1472,1994,2850
51,1472,1978,2253
52,1472,729,4090
53,256,1614,3476
54,256,682,2861
55,1472,61,2854
56,1472,289,2256
57,256,138,1647
58,256,2005,4068
59,256,5193,2240
60,256,1731,4082
61,1472,5024,3464
62,256,535,4091
63,256,1502,2865
0,1472,487,4205
1,256,1907,2989
2,256,463,4821
3,256,1342,4214
4,1472,668,3609
5,256,6972,2375
6,1472,2355,3004
7,256,1286,4202
8,1472,360,3592
9,256,1477,2374
10,1472,1998,2387
11,256,746,2985
12,256,596,5415
13,1472,1471,4820
14,256,55,3597
15,256,1732,3607
16,256,609,2383
17,256,2305,4824
18,256,2229,3603
19,256,450,3610
20,256,1857,4193
21,256,994,2385
22,256,41,3604
23,1472,2128,3006
24,256,641,2389
25,256,7599,4829
26,1472,1821,2998
27,1472,1719,2379
28,1472,1355,3607
29,1472,1175,4200
30,1472,660,5422
31,1472,1150,4819
32,256,814,4207
33,256,2013,4821
34,1472,2059,3589
35,256,650,3612
36,256,996,2993
37,1472,1118,2978
38,1472,732,3007
39,256,764,3586
40,256,1163,3589
41,1472,1368,5439
42,256,1386,2373
43,256,1325,2997
44,256,557,3593
45,256,149,4204
46,1472,771,4817
47,1472,654,2384
48,1472,811,4218
49,1472,338,4203
50,1472,1765,3586
51,1472,1449,2989
52,256,668,4826
53,256,1038,3604
54,1472,1502,2989
55,1472,360,3590
56,1472,2180,2992
57,256,1239,1775
58,1472,1263,4196
59,256,2065,2368
60,1472,1500,4210
61,256,7954,4200
62,1472,748,4219
63,256,1296,2993
0,1472,23,4941
1,1472,1931,3117
2,1472,2118,4949
3,1472,1582,4342
4,256,1892,4345
5,1472,1913,2503
6,1472,2087,3740
7,1472,1517,4330
8,1472,2175,4328
9,1472,1197,2502
10,1472,1634,3123
11,256,47,3113
12,256,989,5543
13,256,659,5556
14,256,630,3725
15,1472,1752,3735
16,256,708,2511
17,256,1673,4952
18,256,1227,3731
19,1472,398,3738
20,256,2042,4321
21,1472,283,2513
22,1472,2114,3732
23,256,2426,3742
24,1472,312,2517
25,1472,423,4957
26,256,173,3734
27,1472,200,3115
28,256,1438,4343
29,1472,1062,4936
30,256,254,6158
31,1472,1028,5555
32,256,621,4335
33,1472,772,4949
34,1472,7924,4325
35,1472,3407,3740
36,1472,1753,3121
37,256,961,3714
38,1472,2164,3743
39,256,950,3714
40,1472,1016,3717
41,256,1696,6175
42,1472,1141,2501
43,256,567,3125
44,256,197,3721
45,1472,1598,4332
46,1472,84,5553
47,1472,1218,3120
48,256,1649,4954
49,1472,7830,4939
50,256,2393,4322
51,1472,493,3725
52,256,388,4954
53,1472,653,3732
54,1472,2552,3725
55,256,920,4326
56,256,205,3728
57,256,336,1903
58,256,237,4932
59,1472,1078,2496
60,256,1968,4946
61,1472,1440,4328
62,1472,248,4955
63,256,906,3121
0,256,1496,5677
1,256,2367,3853
2,1472,4980,5685
3,1472,1577,5078
4,1472,2083,4473
5,256,1375,3239
6,1472,322,4476
7,256,183,5066
8,256,2254,5064
9,256,440,3238
10,1472,1740,3859
11,256,6857,3241
12,256,1702,5671
13,256,6716,5684
14,1472,2208,3853
15,1472,1187,4471
16,1472,1845,2639
17,256,797,5080
18,1472,9,3859
19,1472,1341,4474
20,1472,239,4449
21,256,183,3249
22,1472,1290,4468
23,256,1150,3870
24,256,577,3253
25,1472,1932,5693
26,256,766,3862
27,256,482,3851
28,256,2341,4471
29,1472,4517,5672
30,256,2038,6286
31,256,1890,6291
32,256,2334,4463
33,256,312,5685
34,256,1015,5061
35,1472,929,4476
36,1472,2055,3857
37,1472,2067,3842
38,1472,1746,4479
39,256,2131,3842
40,256,17,4453
41,256,1870,6303
42,1472,259,3237
43,256,758,3253
44,1472,1390,3849
45,1472,2220,5068
46,256,1442,6289
47,1472,36,3856
48,1472,1183,5082
49,1472,1682,5675
50,256,159,4450
51,1472,1408,4461
52,1472,125,5082
53,256,1879,4468
54,256,1888,4461
55,1472,1970,4454
56,256,907,3856
57,1472,2110,2031
58,1472,1859,5060
59,1472,187,3232
60,1472,241,5074
61,1472,1596,5064
62,1472,1537,5691
63,256,644,3249
0,1472,651,5805
1,1472,443,3981
2,1472,668,6421
3,1472,84,5814
4,1472,1790,5209
5,256,2300,3367
6,1472,446,5212
7,256,2261,5194
8,256,192,5192
9,1472,1373,3366
10,1472,1265,4595
11,256,130,3369
12,256,1842,5799
13,256,661,5812
14,1472,992,4589
15,1472,1499,5207
16,256,3021,3375
17,1472,736,5208
18,1472,1662,4595
19,1472,1023,5210
20,256,1601,5185
21,256,2192,3377
22,256,591,5204
23,1472,2117,3998
24,256,1884,3381
25,1472,1079,6429
26,256,1850,3990
27,1472,1203,3979
28,1472,1903,4599
29,256,1262,6408
30,1472,1685,6414
31,256,905,6419
32,1472,519,4591
33,256,37,5813
34,1472,561,5189
35,1472,1500,5212
36,256,427,4593
37,256,448,4578
38,256,2287,5215
39,1472,1634,3970
40,256,583,4581
41,256,2249,6431
42,1472,888,3973
43,256,2291,3381
44,1472,1027,4585
45,256,921,5804
46,1472,856,6417
47,1472,2006,4592
48,1472,1908,5818
49,1472,1554,6411
50,1472,2371,4578
51,256,1488,5197
52,1472,282,5818
53,1472,1029,4596
54,256,1235,4589
55,256,698,5190
56,256,1841,3984
57,256,1396,2767
58,1472,8,5796
59,1472,2160,3968
60,1472,797,5810
61,1472,1202,5800
62,256,2178,6427
63,256,790,3377
0,256,1904,6541
1,256,288,4717
2,1472,69,7157
3,256,1218,6550
4,1472,569,5945
5,256,312,3495
6,256,1116,5948
7,256,1025,5322
8,256,159,5320
9,1472,7103,4102
10,256,1826,5331
11,1472,2389,3497
12,1472,1060,5927
13,1472,1540,5940
14,1472,2300,5325
15,256,1104,5943
16,1472,1680,3503
17,256,2031,5944
18,1472,1052,5331
19,1472,764,5946
20,256,1015,5313
21,1472,1232,3505
22,256,1306,5332
23,256,1346,4734
24,256,626,3509
25,1472,186,7165
26,1472,1683,4118
27,256,1306,4715
28,1472,1301,5335
29,1472,133,6536
30,256,510,7150
31,1472,1052,6547
32,256,45,5327
33,1472,1408,5941
34,1472,815,5925
35,1472,326,5948
36,1472,573,4721
37,1472,1442,4706
38,256,1476,5343
39,256,2161,4706
40,256,786,4709
41,256,2053,6559
42,1472,976,4709
43,1472,143,3509
44,256,682,5321
45,1472,1455,5932
46,256,418,7153
47,1472,1561,5328
48,256,93,6554
49,1472,1933,7147
50,256,2077,5314
51,256,2033,5325
52,1472,194,6554
53,256,586,5332
54,1472,3446,4717
55,1472,1844,5318
56,1472,371,4112
57,256,1298,2895
58,1472,2150,6532
59,1472,2129,4704
60,256,1143,6546
61,256,143,6536
62,256,2129,6555
63,256,487,3505
0,1472,58,6669
1,1472,387,4845
2,1472,2214,7893
3,1472,582,6678
4,1472,71,6681
5,1472,364,3623
6,1472,129,6076
7,1472,226,5450
8,256,455,5448
9,1472,870,4838
10,256,98,5459
11,1472,825,4233
12,256,22,6663
13,256,2122,6676
14,256,319,6061
15,256,841,6071
16,256,820,4239
17,1472,1686,6072
18,1472,664,6067
19,1472,2003,6682
20,1472,2074,5441
21,256,1463,4241
22,1472,1664,5460
23,1472,278,4862
24,1472,1997,3637
25,256,724,7901
26,1472,257,4854
27,256,1931,4843
28,256,21,6071
29,256,960,7272
30,1472,7079,7278
31,256,430,7283
32,256,534,5455
33,1472,1628,6677
34,256,1083,6661
35,1472,1725,6684
36,256,1715,5457
37,256,1299,5442
38,1472,1113,5471
39,1472,2303,4834
40,1472,2155,4837
41,1472,2219,6687
42,256,2286,5445
43,1472,593,4245
44,1472,185,5449
45,1472,1040,6668
46,1472,1838,7281
47,256,352,6064
48,256,1657,6682
49,1472,2008,7883
50,1472,277,5442
51,1472,290,5453
52,1472,717,7290
53,256,1990,5460
54,256,1019,5453
55,1472,10,6054
56,256,2175,4848
57,256,1462,3023
58,256,1150,7268
59,256,1975,5440
60,1472,259,6674
61,1472,3965,6664
62,1472,1669,6683
63,1472,2227,3633
0,1472,1212,7405
1,1472,719,5581
2,1472,980,8629
3,1472,1830,7414
4,256,2350,7417
5,256,1004,4359
6,256,739,6812
7,1472,907,6186
8,256,390,5576
9,1472,392,5574
10,1472,160,5587
11,1472,1314,4969
12,256,1829,6791
13,1472,2112,6804
14,1472,859,6189
15,1472,342,6199
16,256,444,4367
17,256,226,6808
18,256,1745,6803
19,1472,1838,7418
20,256,390,6177
21,1472,1144,4369
22,1472,640,6196
23,256,708,5598
24,256,1955,4373
25,256,1826,8029
26,1472,1359,5590
27,1472,1410,4971
28,256,498,6199
29,1472,2396,7400
30,256,2055,8014
31,1472,1307,7411
32,1472,1964,5583
33,256,963,7413
34,256,2028,6789
35,256,1192,7420
36,256,2316,5585
37,1472,1975,5570
38,1472,2046,6207
39,1472,1120,5570
40,1472,687,5573
41,1472,882,7423
42,256,2280,5573
43,1472,1449,4981
44,256,1291,6185
45,256,1206,7404
46,256,664,8017
47,256,1224,6192
48,256,612,6810
49,1472,1349,8619
50,1472,1647,6178
51,1472,169,6189
52,256,1114,8026
53,1472,862,5588
54,1472,1336,5581
55,256,2360,6790
56,1472,2314,4976
57,256,218,3151
58,1472,657,7396
59,1472,592,5568
60,256,2382,7410
61,256,1969,7400
62,256,2165,7419
63,256,1947,4369
0,256,1389,8141
1,1472,2193,6317
2,1472,112,9365
3,256,1921,8150
4,1472,1532,7545
5,256,1260,4487
6,256,20,6940
7,256,1077,6922
8,1472,1459,5704
9,1472,927,6310
10,1472,1680,6323
11,1472,1218,5705
12,256,2058,6919
13,1472,527,7540
14,256,1629,6925
15,256,495,6935
16,256,7482,4495
17,256,255,6936
18,256,4528,6931
19,256,2105,8154
20,256,1531,6305
21,1472,1558,5105
22,256,1088,6932
23,1472,3361,5726
24,256,695,4501
25,256,2039,8157
26,1472,1553,6326
27,1472,2358,5707
28,256,1512,6327
29,256,1976,8136
30,1472,1351,8142
31,256,3433,8147
32,1472,11,6319
33,1472,1611,7541
34,256,950,6917
35,1472,2128,7548
36,1472,1291,5713
37,1472,1223,6306
38,1472,2216,6943
39,256,2185,6306
40,1472,209,6309
41,1472,7432,8159
42,1472,234,5701
43,1472,1912,5717
44,1472,1840,6313
45,256,432,7532
46,1472,1074,8145
47,1472,454,6320
48,256,1250,6938
49,1472,2490,9355
50,1472,681,6914
51,256,2295,6925
52,1472,1887,8154
53,256,309,6324
54,1472,1680,6317
55,1472,1419,6918
56,1472,517,5712
57,256,1895,3279
58,256,942,8132
59,1472,1531,6304
60,1472,1282,7538
61,256,1228,7528
62,256,2334,7547
63,256,1590,4497
0,1472,415,8269
1,1472,5736,7053
2,256,1900,10101
3,256,1926,8278
4,256,452,8281
5,1472,1741,4615
6,1472,2349,7068
7,1472,42,7050
8,1472,1279,6440
9,1472,1519,7046
10,256,2049,7059
11,1472,321,6441
12,1472,1729,7047
13,1472,1726,8276
14,256,1477,7053
15,1472,1711,7063
16,1472,1310,4623
17,256,1795,7064
18,256,1201,7059
19,1472,2081,8282
20,1472,1421,6433
21,1472,825,5841
22,1472,254,7060
23,256,902,6462
24,1472,1468,4629
25,256,2266,8285
26,256,94,7062
27,1472,490,6443
28,1472,1410,6455
29,1472,780,8264
30,1472,3352,8878
31,1472,1712,8275
32,256,3581,7055
33,256,83,8277
34,256,322,7045
35,1472,1012,8284
36,1472,2278,6449
37,256,501,7042
38,1472,750,7679
39,256,793,6434
40,1472,409,7045
41,256,328,8895
42,256,369,6437
43,256,2014,6453
44,1472,2189,7049
45,1472,1008,7660
46,1472,1030,8881
47,1472,917,7056
48,1472,1056,7066
49,1472,604,10091
50,1472,2382,7650
51,256,497,7053
52,1472,2099,8890
53,256,115,6452
54,256,2124,7053
55,256,115,7654
56,1472,1636,6448
57,256,1040,3407
58,256,2088,8260
59,1472,904,7040
60,256,192,8274
61,256,1646,7656
62,1472,653,7675
63,1472,1581,4625
0,1472,967,9005
1,1472,1752,7789
2,256,42,10229
3,256,172,8406
4,1472,254,8409
5,1472,2120,5351
6,1472,333,7804
7,256,1902,7786
8,1472,529,7176
9,1472,472,7782
10,1472,1737,7187
11,256,209,7177
12,256,5773,7783
13,256,2390,9012
14,256,1824,7181
15,256,1977,7799
16,256,112,5359
17,1472,1271,7192
18,1472,273,7187
19,1472,340,9018
20,1472,433,7169
21,1472,420,6577
22,256,927,7796
23,1472,800,6590
24,1472,1982,5365
25,256,1180,8413
26,1472,6667,7190
27,256,503,7179
28,256,8,7191
29,1472,5272,9000
30,1472,2254,9614
31,256,1936,9011
32,256,1873,7183
33,256,2123,8405
34,1472,1201,7173
35,1472,1019,9020
36,1472,1250,7185
37,256,580,7170
38,1472,900,8415
39,256,1394,6562
40,256,5318,7781
41,256,218,9023
42,256,851,6565
43,1472,1775,6581
44,1472,569,7785
45,1472,4299,8396
46,256,152,9617
47,1472,2002,7792
48,1472,82,7802
49,256,1621,10827
50,256,1366,8386
51,1472,1490,7181
52,256,594,9626
53,256,1661,6580
54,1472,1744,7181
55,1472,780,7782
56,256,2005,7184
57,256,1001,3535
58,1472,1561,8388
59,1472,1830,7776
60,256,2010,8402
61,1472,922,7784
62,256,2238,8411
63,256,610,5361
0,1472,1335,9741
1,256,439,8525
2,1472,795,10357
3,1472,6456,8534
4,256,1744,9145
5,256,1358,6087
6,1472,2337,8540
7,256,2080,7914
8,1472,1466,7912
9,256,279,8518
10,256,2323,7923
11,1472,1777,7305
12,256,46,7911
13,1472,482,9140
14,256,2372,7309
15,1472,1103,7927
16,1472,628,5487
17,256,2202,7928
18,256,1568,7923
19,256,2047,9754
20,1472,87,7905
21,1472,7485,7313
22,1472,1526,7924
23,1472,1693,7326
24,1472,905,6101
25,1472,1390,8541
26,1472,2121,7926
27,1472,144,7307
28,1472,6783,7319
29,256,1480,9736
30,256,1825,10350
31,256,944,9139
32,1472,1227,7311
33,256,2131,8533
