port,pkt_size,flowid,time
0,1472,173,52
1,1472,4731,18
2,1472,720,43
3,256,3971,34
4,256,895,23
5,1472,927,2
6,256,3802,25
7,1472,7048,7
8,256,172,48
9,256,4933,0
10,256,420,22
11,256,7442,27
12,256,2134,37
13,256,3551,12
14,1472,250,60
15,256,1463,48
16,256,3037,35
17,256,5629,41
18,1472,5890,21
19,256,2543,29
20,256,1008,31
21,1472,1825,16
22,256,6677,30
23,1472,7542,33
24,1472,414,45
25,1472,5500,12
26,1472,6409,43
27,1472,5082,11
28,1472,2600,8
29,1472,6888,50
30,256,2964,28
31,256,2761,21
32,1472,4300,8
33,1472,7233,51
34,1472,3023,9
35,256,2208,48
36,1472,7843,6
37,1472,114,42
38,256,3510,21
39,256,4353,27
40,256,2177,10
41,256,5385,0
42,1472,1890,8
43,1472,4340,59
44,1472,7026,54
45,256,2919,32
46,1472,5635,3
47,1472,2772,2
48,1472,4107,22
49,256,1189,43
50,256,6777,53
51,256,7408,32
52,1472,1727,21
53,256,6184,13
54,256,1271,30
55,256,1911,24
56,256,7959,11
57,256,4110,52
58,1472,1837,16
59,256,7954,21
60,256,7830,34
61,256,1542,39
62,1472,7138,4
63,1472,4568,0
0,256,5490,1524
1,1472,5708,1490
2,256,7589,1515
3,1472,6725,290
4,256,4122,279
5,256,3103,1474
6,1472,621,281
7,1472,6308,1479
8,1472,5969,304
9,256,7123,256
10,1472,2639,278
11,256,778,283
12,256,6077,293
13,256,7797,268
14,1472,5999,1532
15,256,5542,304
16,1472,3559,291
17,1472,7514,297
18,1472,3179,1493
19,256,4752,285
20,256,5865,287
21,1472,5989,1488
22,1472,2453,286
23,1472,238,1505
24,256,918,1517
25,256,4208,1484
26,256,6610,1515
27,256,1993,1483
28,1472,2769,1480
29,1472,4741,1522
30,1472,5579,284
31,256,6502,277
32,256,7683,1480
33,1472,201,1523
34,256,7383,1481
35,1472,1943,304
36,256,6587,1478
37,256,7882,1514
38,256,7219,277
39,256,4765,283
40,1472,1849,266
41,256,151,256
42,256,1240,1480
43,1472,945,1531
44,256,7242,1526
45,1472,7742,288
46,256,230,1475
47,1472,879,1474
48,256,3107,1494
49,1472,7140,299
50,1472,4838,309
51,256,965,288
52,256,4947,1493
53,256,2145,269
54,1472,6964,286
55,256,5319,280
56,256,4821,267
57,1472,210,308
58,256,6123,1488
59,1472,3999,277
60,256,2158,290
61,256,3016,295
62,256,6538,1476
63,1472,79,1472
0,256,6191,1780
1,1472,217,2962
2,256,7093,1771
3,1472,91,1762
4,1472,5262,535
5,256,5374,1730
6,256,5259,1753
7,256,3621,2951
8,1472,5276,1776
9,1472,6102,512
10,256,2862,1750
11,1472,1135,539
12,256,1644,549
13,1472,5431,524
14,1472,6473,3004
15,1472,7771,560
16,1472,6469,1763
17,1472,5828,1769
18,1472,1144,2965
19,256,719,541
20,256,6517,543
21,1472,1340,2960
22,1472,5354,1758
23,1472,7468,2977
24,256,2245,1773
25,256,1854,1740
26,256,7292,1771
27,256,6746,1739
28,1472,1349,2952
29,256,2410,2994
30,1472,4131,1756
31,256,2717,533
32,1472,4378,1736
33,256,4319,2995
34,1472,1767,1737
35,1472,932,1776
36,1472,2435,1734
37,256,5455,1770
38,1472,7149,533
39,1472,6533,539
40,1472,2759,1738
41,256,2997,512
42,256,7237,1736
43,1472,659,3003
44,1472,5227,1782
45,256,7583,1760
46,1472,6074,1731
47,256,1072,2946
48,1472,1903,1750
49,1472,7829,1771
50,256,6860,1781
51,1472,3280,544
52,1472,6593,1749
53,256,7223,525
54,256,4661,1758
55,256,7618,536
56,256,4662,523
57,1472,1210,1780
58,1472,6712,1744
59,256,5491,1749
60,1472,4715,546
61,256,3296,551
62,1472,5755,1732
63,1472,7785,2944
0,256,4806,2036
1,256,6095,4434
2,1472,7784,2027
3,256,762,3234
4,256,1345,2007
5,1472,7687,1986
6,1472,2779,2009
7,1472,3324,3207
8,1472,4557,3248
9,1472,4,1984
10,1472,680,2006
11,256,167,2011
12,256,5271,805
13,1472,3016,1996
14,256,5987,4476
15,256,5716,2032
16,256,4300,3235
17,1472,2679,3241
18,256,2226,4437
19,256,4434,797
20,256,7587,799
21,256,4493,4432
22,256,1144,3230
23,1472,5796,4449
24,256,2101,2029
25,1472,2706,1996
26,1472,7468,2027
27,256,6475,1995
28,1472,1517,4424
29,256,4849,3250
30,256,7456,3228
31,1472,2841,789
32,256,7785,3208
33,256,7165,3251
34,1472,3368,3209
35,256,3931,3248
36,256,6318,3206
37,1472,2690,2026
38,256,4253,2005
39,1472,2424,2011
40,1472,1516,3210
41,1472,6608,768
42,256,6647,1992
43,256,2559,4475
44,1472,7152,3254
45,1472,1547,2016
46,1472,5485,3203
47,1472,6565,3202
48,1472,7644,3222
49,1472,6974,3243
50,1472,537,2037
51,256,4587,2016
52,256,3073,3221
53,256,5653,781
54,1472,6938,2014
55,1472,5898,792
56,256,2995,779
57,256,7190,3252
58,1472,4759,3216
59,1472,4104,2005
60,256,2163,2018
61,256,3366,807
62,256,658,3204
63,1472,2559,4416
0,256,1561,2292
1,256,1796,4690
2,1472,5236,3499
3,256,3294,3490
4,1472,6300,2263
5,1472,4221,3458
6,256,6809,3481
7,256,2325,4679
8,1472,554,4720
9,1472,4702,3456
10,1472,6576,3478
11,256,2422,2267
12,256,5242,1061
13,256,7694,3468
14,1472,2251,4732
15,1472,5635,2288
16,1472,398,3491
17,1472,3408,4713
18,256,7686,4693
19,256,7758,1053
20,1472,464,1055
21,256,4709,4688
22,1472,5934,3486
23,256,4605,5921
24,1472,4033,2285
25,256,2534,3468
26,256,4848,3499
27,1472,3289,2251
28,1472,6070,5896
29,256,4732,3506
30,256,5213,3484
31,1472,6085,2261
32,1472,1705,3464
33,1472,2250,3507
34,1472,2679,4681
35,256,2423,3504
36,256,2233,3462
37,256,2783,3498
38,1472,7765,2261
39,256,528,3483
40,256,4830,4682
41,256,7786,2240
42,256,1742,2248
43,256,6626,4731
44,1472,5873,4726
45,1472,4223,3488
46,1472,6571,4675
47,1472,79,4674
48,256,334,4694
49,1472,5866,4715
50,1472,4235,3509
51,1472,2954,2272
52,1472,6866,3477
53,1472,5202,1037
54,256,5113,3486
55,256,1666,2264
56,256,6933,1035
57,256,6903,3508
58,1472,4155,4688
59,1472,442,3477
60,256,2381,2274
61,1472,3850,1063
62,256,844,3460
63,1472,6805,5888
0,1472,2973,2548
1,1472,1567,4946
2,1472,2533,4971
3,256,2870,3746
4,256,6420,3735
5,1472,87,4930
6,256,7417,3737
7,1472,2188,4935
8,256,6360,6192
9,1472,7353,4928
10,256,756,4950
11,256,4379,2523
12,1472,4906,1317
13,256,3343,3724
14,1472,2370,6204
15,256,1026,3760
16,1472,5658,4963
17,1472,2300,6185
18,256,4557,4949
19,1472,1121,1309
20,1472,3320,2527
21,256,6867,4944
22,1472,5406,4958
23,256,3656,6177
24,1472,6343,3757
25,1472,239,3724
26,1472,2720,3755
27,1472,4545,3723
28,1472,976,7368
29,256,6574,3762
30,256,5038,3740
31,256,3540,3733
32,1472,7504,4936
33,1472,4012,4979
34,256,6917,6153
35,1472,6736,3760
36,256,2592,3718
37,1472,1961,3754
38,1472,5089,3733
39,1472,7248,3739
40,1472,6458,4938
41,256,4228,2496
42,256,3308,2504
43,256,2217,4987
44,256,3055,6198
45,256,7943,4960
46,1472,2903,6147
47,256,6604,6146
48,256,6834,4950
49,1472,3686,6187
50,256,673,4981
51,1472,3957,3744
52,1472,4473,4949
53,256,1858,2509
54,1472,41,3742
55,256,5629,2520
56,1472,5243,1291
57,256,3034,3764
58,256,746,6160
59,1472,5378,4949
60,1472,3236,2530
61,1472,7909,2535
62,256,5410,3716
63,256,2430,7360
0,1472,7339,4020
1,256,3538,6418
2,256,7431,6443
3,256,3415,4002
4,1472,4035,3991
5,256,4088,6402
6,1472,2749,3993
7,1472,4938,6407
8,256,2384,6448
9,256,6513,6400
10,1472,7906,5206
11,1472,4740,2779
12,256,2742,2789
13,1472,1775,3980
14,1472,6719,7676
15,1472,2438,4016
16,256,3511,6435
17,256,650,7657
18,256,2427,5205
19,1472,5564,2781
20,1472,481,3999
21,1472,6752,5200
22,256,7517,6430
23,1472,5488,6433
24,256,5315,5229
25,1472,2920,5196
26,256,4666,5227
27,1472,6313,5195
28,256,2648,8840
29,256,6757,4018
30,1472,2443,3996
31,1472,6211,3989
32,256,5735,6408
33,1472,4727,6451
34,256,2385,6409
35,1472,7942,5232
36,1472,1889,3974
37,256,2790,5226
38,256,501,5205
39,1472,5791,5211
40,256,4479,6410
41,256,7771,2752
42,1472,1457,2760
43,1472,1426,5243
44,1472,6608,6454
45,256,4045,5216
46,256,1762,7619
47,256,7220,6402
48,256,7592,5206
49,256,2493,7659
50,256,7514,5237
51,256,6045,5216
52,256,878,6421
53,256,1062,2765
54,256,2435,5214
55,1472,1309,2776
56,1472,5405,2763
57,256,3465,4020
58,256,7770,6416
59,256,7286,6421
60,1472,6577,4002
61,1472,5110,4007
62,1472,315,3972
63,256,5417,7616
